Transient,UserID,UserName,Response
ANT2024etiqi2lvvy2g,UQ2BR0UMV,gaglian2,anomalous
ANT20247mkugesg0esa,UQ2BR0UMV,gaglian2,not_anomalous
ANT20247mkugesg0esa,U9FKJJT6G,gnarayan,not_anomalous
ANT20242wtqb4iui6y5,U9FKJJT6G,gnarayan,not_anomalous
ANT20242wtqb4iui6y5,UQ2BR0UMV,gaglian2,not_anomalous
ANT20247mkugesg0esa,U9DHCDBDL,foley,not_anomalous
ANT2024awt60q52ijm5,U02JXRVMCLW,vav5084,very_anomalous
ANT202401jfzcfcvms5,U9FKJJT6G,gnarayan,anomalous
ANT2024awt60q52ijm5,U9FKJJT6G,gnarayan,anomalous
ANT2024ifht9uf75g97,U9FKJJT6G,gnarayan,anomalous
ANT2024etiqi2lvvy2g,U9FKJJT6G,gnarayan,anomalous
ANT2024awt60q52ijm5,UQ2BR0UMV,gaglian2,anomalous
ANT2024lhmz7ns2z8tw,U9FKJJT6G,gnarayan,very_anomalous
ANT2024plc0p7824ik1,U9FKJJT6G,gnarayan,anomalous
ANT2020de2hk,U9FKJJT6G,gnarayan,not_anomalous
ANT20236nzw4s0kcz0u,U9FKJJT6G,gnarayan,anomalous
ANT2024plc0p7824ik1,U9DHCDBDL,foley,not_anomalous
ANT2020de2hk,U9DHCDBDL,foley,not_anomalous
ANT2024lhmz7ns2z8tw,UQ2BR0UMV,gaglian2,anomalous
ANT202435buo3dm7dda,UQ2BR0UMV,gaglian2,not_anomalous
ANT20240aztc5kg1fcd,U02JXRVMCLW,vav5084,not_anomalous
ANT202435buo3dm7dda,U02JXRVMCLW,vav5084,not_anomalous
ANT2024e7oei74iodyh,U02JXRVMCLW,vav5084,not_anomalous
ANT2023i2qp54tevd2e,U02JXRVMCLW,vav5084,not_anomalous
ANT2024wzo760a0wo08,U02JXRVMCLW,vav5084,not_anomalous
ANT20240aztc5kg1fcd,UQ2BR0UMV,gaglian2,not_anomalous
ANT202435buo3dm7dda,U9FKJJT6G,gnarayan,not_anomalous
ANT2024e7oei74iodyh,U9FKJJT6G,gnarayan,anomalous
ANT2023i2qp54tevd2e,U9FKJJT6G,gnarayan,not_anomalous
ANT20240aztc5kg1fcd,U9FKJJT6G,gnarayan,anomalous
ANT2024wzo760a0wo08,U9FKJJT6G,gnarayan,anomalous
ANT2024eav04jy6nw4s,U9FKJJT6G,gnarayan,not_anomalous
ANT2024h92dzdnccuo8,U9FKJJT6G,gnarayan,anomalous
ANT2023a690wl26yd15,U9FKJJT6G,gnarayan,not_anomalous
ANT2024gqogzwoxt4os,U9FKJJT6G,gnarayan,anomalous
ANT2024tgvkdxfr0xq3,U9FKJJT6G,gnarayan,anomalous
ANT2024g4vabxb7tg1b,U9FKJJT6G,gnarayan,not_anomalous
ANT2024hrebb06uzx22,U9FKJJT6G,gnarayan,not_anomalous
ANT2024u97cau77xg0v,U9FKJJT6G,gnarayan,anomalous
ANT2024d4pe32pyeai3,U02JXRVMCLW,vav5084,not_anomalous
ANT2024d4pe32pyeai3,U9FKJJT6G,gnarayan,not_anomalous
ANT2024hrebb06uzx22,UQ2BR0UMV,gaglian2,not_anomalous
ANT2020akx6o,U02JXRVMCLW,vav5084,not_anomalous
ANT2023eemd0ddaw5zv,U02JXRVMCLW,vav5084,anomalous
ANT2020akx6o,U9FKJJT6G,gnarayan,not_anomalous
ANT2023eemd0ddaw5zv,U9FKJJT6G,gnarayan,not_anomalous
ANT2024v46r7crfjg2v,UQ2BR0UMV,gaglian2,anomalous
ANT2024g4vabxb7tg1b,U9DHCDBDL,foley,not_anomalous
ANT2023n3xr92hj9vrx,U9DHCDBDL,foley,anomalous
ANT2024g4vabxb7tg1b,UQ2BR0UMV,gaglian2,not_anomalous
ANT2024ca1o11v66al9,UQ2BR0UMV,gaglian2,anomalous
ANT2022wcnxp7v3ar9r,U02JXRVMCLW,vav5084,not_anomalous
ANT2024ca1o11v66al9,U02JXRVMCLW,vav5084,not_anomalous
ANT2024ca1o11v66al9,U9FKJJT6G,gnarayan,anomalous
ANT2022wcnxp7v3ar9r,U9FKJJT6G,gnarayan,not_anomalous
ANT2022hjrskdhatiut,U9FKJJT6G,gnarayan,anomalous
ANT2024ldumjqx0zi6p,U9FKJJT6G,gnarayan,anomalous
ANT2023n3xr92hj9vrx,U9FKJJT6G,gnarayan,not_anomalous
ANT2019clz6a,U02JXRVMCLW,vav5084,not_anomalous
ANT2024ifht9uf75g97,U02JXRVMCLW,vav5084,anomalous
ANT2024iwfkyjpb1mi6,U02JXRVMCLW,vav5084,not_anomalous
ANT2024wxoo6yd1lwgm,U02JXRVMCLW,vav5084,not_anomalous
ANT20225k4xe8bc61bx,UQ2BR0UMV,gaglian2,not_agn
ANT2018afwce,U9FKJJT6G,gnarayan,anomalous
ANT20225k4xe8bc61bx,U9FKJJT6G,gnarayan,anomalous
ANT2023cng99l8fmkwo,UQ2BR0UMV,gaglian2,not_agn
ANT20236lzzr6q34hjw,UQ2BR0UMV,gaglian2,agn
ANT20223n6lqzwa0fwf,UQ2BR0UMV,gaglian2,agn
ANT2020atngu,U9DHCDBDL,foley,agn
ANT2020atngu,U02JXRVMCLW,vav5084,agn
ANT2023cng99l8fmkwo,U9FKJJT6G,gnarayan,not_agn
ANT2020atngu,U9FKJJT6G,gnarayan,agn
ANT2024qy9q5fte29jr,U9FKJJT6G,gnarayan,agn
