Transient,UserID,UserName,Response,TimeStamp
ANT2024etiqi2lvvy2g,UQ2BR0UMV,gaglian2,anomalous,1716818348.191372
ANT20242wtqb4iui6y5,UQ2BR0UMV,gaglian2,not_anomalous,1716902758.739064
ANT20247mkugesg0esa,UQ2BR0UMV,gaglian2,not_anomalous,1716902763.750541
ANT20225k4xe8bc61bx,UQ2BR0UMV,gaglian2,anomalous,1716903350.339132
ANT2020lgya,U9FKJJT6G,gnarayan,not_anomalous,1716903377.694784
ANT2020atngu,U9FKJJT6G,gnarayan,not_anomalous,1716904151.967911
ANT20247mkugesg0esa,U9FKJJT6G,gnarayan,not_anomalous,1716904238.491172
ANT20242wtqb4iui6y5,U9FKJJT6G,gnarayan,not_anomalous,1716904372.447585
ANT20242wtqb4iui6y5,UQ2BR0UMV,gaglian2,not_anomalous,1716914148.488891
ANT20242wtqb4iui6y5,UQ2BR0UMV,gaglian2,not_anomalous,1716914167.068962
ANT20242wtqb4iui6y5,UQ2BR0UMV,gaglian2,not_anomalous,1716914172.254942
ANT20242wtqb4iui6y5,UQ2BR0UMV,gaglian2,not_anomalous,1716914373.085531
ANT20247mkugesg0esa,U9DHCDBDL,foley,not_anomalous,1716914830.99302
ANT2024awt60q52ijm5,U02JXRVMCLW,vav5084,very_anomalous,1716990334.247403
ANT2023cng99l8fmkwo,UQ2BR0UMV,gaglian2,anomalous,1716990495.845657
ANT202401jfzcfcvms5,U9FKJJT6G,gnarayan,anomalous,1716993531.457513
ANT2024awt60q52ijm5,U9FKJJT6G,gnarayan,anomalous,1716993572.644647
ANT2024ifht9uf75g97,U9FKJJT6G,gnarayan,anomalous,1716993711.571924
ANT2023cng99l8fmkwo,U9FKJJT6G,gnarayan,anomalous,1716993776.575994
ANT2024etiqi2lvvy2g,U9FKJJT6G,gnarayan,anomalous,1716993814.437126
ANT2024awt60q52ijm5,UQ2BR0UMV,gaglian2,anomalous,1716996158.279847
ANT2023cng99l8fmkwo,UQ2BR0UMV,gaglian2,anomalous,1717037791.822381
ANT2024lhmz7ns2z8tw,U9FKJJT6G,gnarayan,very_anomalous,1717078766.21979
ANT2024plc0p7824ik1,U9FKJJT6G,gnarayan,anomalous,1717078929.796995
ANT2020de2hk,U9FKJJT6G,gnarayan,not_anomalous,1717079043.368713
ANT20236nzw4s0kcz0u,U9FKJJT6G,gnarayan,anomalous,1717079199.333032
ANT2024plc0p7824ik1,U9DHCDBDL,foley,not_anomalous,1717086810.052846
ANT2020de2hk,U9DHCDBDL,foley,not_anomalous,1717086824.306139
ANT2024lhmz7ns2z8tw,UQ2BR0UMV,gaglian2,anomalous,1717093894.737034
ANT202435buo3dm7dda,UQ2BR0UMV,gaglian2,not_anomalous,1717160978.666613
ANT20240aztc5kg1fcd,U02JXRVMCLW,vav5084,not_anomalous,1717162258.837082
ANT202435buo3dm7dda,U02JXRVMCLW,vav5084,not_anomalous,1717162290.173617
ANT2024e7oei74iodyh,U02JXRVMCLW,vav5084,not_anomalous,1717162300.549699
ANT2023i2qp54tevd2e,U02JXRVMCLW,vav5084,not_anomalous,1717162327.767246
ANT2024wzo760a0wo08,U02JXRVMCLW,vav5084,not_anomalous,1717162338.096067
ANT20240aztc5kg1fcd,UQ2BR0UMV,gaglian2,not_anomalous,1717163706.405922
ANT202435buo3dm7dda,U9FKJJT6G,gnarayan,not_anomalous,1717236217.431603
ANT2024e7oei74iodyh,U9FKJJT6G,gnarayan,anomalous,1717236264.415831
ANT2023i2qp54tevd2e,U9FKJJT6G,gnarayan,not_anomalous,1717236370.679404
ANT20240aztc5kg1fcd,U9FKJJT6G,gnarayan,anomalous,1717236398.905952
ANT2024wzo760a0wo08,U9FKJJT6G,gnarayan,anomalous,1717236450.957334
ANT2024g4vabxb7tg1b,UQ2BR0UMV,gaglian2,not_anomalous,1717339373.206728
ANT2024eav04jy6nw4s,U9FKJJT6G,gnarayan,not_anomalous,1717373537.444535
ANT2024h92dzdnccuo8,U9FKJJT6G,gnarayan,anomalous,1717373589.646311
ANT2023a690wl26yd15,U9FKJJT6G,gnarayan,not_anomalous,1717373669.281794
ANT2024gqogzwoxt4os,U9FKJJT6G,gnarayan,anomalous,1717373853.979537
ANT2024tgvkdxfr0xq3,U9FKJJT6G,gnarayan,anomalous,1717373897.693041
ANT2024g4vabxb7tg1b,U9FKJJT6G,gnarayan,not_anomalous,1717373908.811609
ANT2024hrebb06uzx22,U9FKJJT6G,gnarayan,not_anomalous,1717374010.465716
ANT2024u97cau77xg0v,U9FKJJT6G,gnarayan,anomalous,1717374099.132961
ANT2024hrebb06uzx22,UQ2BR0UMV,gaglian2,not_anomalous,1717422215.845484
ANT2024hrebb06uzx22,UQ2BR0UMV,gaglian2,not_anomalous,1717422474.056136
ANT2024d4pe32pyeai3,U02JXRVMCLW,vav5084,not_anomalous,1717423807.842863
ANT2024d4pe32pyeai3,U9FKJJT6G,gnarayan,not_anomalous,1717429798.906021
ANT2024hrebb06uzx22,UQ2BR0UMV,gaglian2,not_anomalous,1717505523.112584
ANT2020akx6o,U02JXRVMCLW,vav5084,not_anomalous,1717510444.721214
ANT2023eemd0ddaw5zv,U02JXRVMCLW,vav5084,anomalous,1717510471.09187
ANT2020akx6o,U9FKJJT6G,gnarayan,not_anomalous,1717532497.195824
ANT2023eemd0ddaw5zv,U9FKJJT6G,gnarayan,not_anomalous,1717532703.053731
ANT2024v46r7crfjg2v,UQ2BR0UMV,gaglian2,anomalous,1717769400.405553
ANT2024v46r7crfjg2v,UQ2BR0UMV,gaglian2,anomalous,1717771800.110203
ANT2024v46r7crfjg2v,UQ2BR0UMV,gaglian2,anomalous,1717771838.911889
ANT2024v46r7crfjg2v,UQ2BR0UMV,gaglian2,anomalous,1717771845.285764
ANT2024v46r7crfjg2v,UQ2BR0UMV,gaglian2,anomalous,1717771851.771322
ANT2024v46r7crfjg2v,UQ2BR0UMV,gaglian2,anomalous,1717848192.618075
ANT2020atngu,U9DHCDBDL,foley,not_anomalous,1717862688.709634
ANT2024g4vabxb7tg1b,U9DHCDBDL,foley,not_anomalous,1717862719.668173
ANT2023n3xr92hj9vrx,U9DHCDBDL,foley,anomalous,1717863444.078644
ANT2024g4vabxb7tg1b,UQ2BR0UMV,gaglian2,not_anomalous,1717995984.419861
ANT2024g4vabxb7tg1b,UQ2BR0UMV,gaglian2,not_anomalous,1717995999.296068
ANT2024g4vabxb7tg1b,UQ2BR0UMV,gaglian2,not_anomalous,1717996006.791823
ANT2024g4vabxb7tg1b,UQ2BR0UMV,gaglian2,not_anomalous,1717996081.644394
ANT2024g4vabxb7tg1b,UQ2BR0UMV,gaglian2,not_anomalous,1717996320.605759
ANT2024g4vabxb7tg1b,UQ2BR0UMV,gaglian2,not_anomalous,1718023814.225886
ANT2024g4vabxb7tg1b,UQ2BR0UMV,gaglian2,not_anomalous,1718162081.177938
ANT2024ca1o11v66al9,UQ2BR0UMV,gaglian2,anomalous,1718198202.654447
ANT2022wcnxp7v3ar9r,U02JXRVMCLW,vav5084,not_anomalous,1718199577.780946
ANT2024ca1o11v66al9,U02JXRVMCLW,vav5084,not_anomalous,1718199587.593261
ANT2024ca1o11v66al9,U9FKJJT6G,gnarayan,anomalous,1718212647.332198
ANT2022wcnxp7v3ar9r,U9FKJJT6G,gnarayan,not_anomalous,1718212681.222438
ANT2022hjrskdhatiut,U9FKJJT6G,gnarayan,anomalous,1718213398.342714
ANT2024ldumjqx0zi6p,U9FKJJT6G,gnarayan,anomalous,1718213431.310285
ANT2023n3xr92hj9vrx,U9FKJJT6G,gnarayan,anomalous,1718213467.109766
ANT2023n3xr92hj9vrx,U9FKJJT6G,gnarayan,not_anomalous,1718213494.751208
ANT2019clz6a,U02JXRVMCLW,vav5084,not_anomalous,1718284781.935401
ANT2019clz6a,U9FKJJT6G,gnarayan,not_anomalous,1718297434.606953
ANT2024ifht9uf75g97,U02JXRVMCLW,vav5084,anomalous,1718372366.647715
ANT2024iwfkyjpb1mi6,U02JXRVMCLW,vav5084,not_anomalous,1718372392.383042
ANT2024wxoo6yd1lwgm,U02JXRVMCLW,vav5084,not_anomalous,1718372401.916866
ANT20225k4xe8bc61bx,UQ2BR0UMV,gaglian2,anomalous,1718471657.85702
ANT20225k4xe8bc61bx,UQ2BR0UMV,gaglian2,not_agn,1718473068.168436
ANT2018afwce,U9FKJJT6G,gnarayan,anomalous,1718498258.245622
ANT20225k4xe8bc61bx,U9FKJJT6G,gnarayan,anomalous,1718498292.324533
ANT2023cng99l8fmkwo,UQ2BR0UMV,gaglian2,agn,1718555534.630374
ANT2023cng99l8fmkwo,UQ2BR0UMV,gaglian2,not_agn,1718556220.930457
ANT2020aftik,U9FKJJT6G,gnarayan,agn,1718733057.521619
ANT2019clz6a,U9FKJJT6G,gnarayan,not_agn,1718733088.185611
ANT2019clz6a,U9FKJJT6G,gnarayan,agn,1718733142.717322
ANT2020lgya,U9FKJJT6G,gnarayan,agn,1718733172.913686
ANT20236lzzr6q34hjw,UQ2BR0UMV,gaglian2,agn,1718803737.149356
ANT20223n6lqzwa0fwf,UQ2BR0UMV,gaglian2,agn,1718803741.500815
ANT2020atngu,U9DHCDBDL,foley,agn,1718975937.358112
ANT2020atngu,U02JXRVMCLW,vav5084,agn,1718976666.173773
ANT20239isdpk4gf9z5,U9FKJJT6G,gnarayan,not_agn,1719187344.65001
ANT2023cng99l8fmkwo,U9FKJJT6G,gnarayan,not_agn,1719187531.61452
ANT2020atngu,U9FKJJT6G,gnarayan,agn,1719187542.986559
ANT2024qy9q5fte29jr,U9FKJJT6G,gnarayan,agn,1719331847.231311
ANT2023i01y7hbmy3bu,U9FKJJT6G,gnarayan,agn,1719332013.305962
ANT2023i2qp54tevd2e,UQ2BR0UMV,gaglian2,agn,1719407396.833172
ANT2020htcvs,UQ2BR0UMV,gaglian2,agn,1719497481.030597
ANT2020htcvs,U9FKJJT6G,gnarayan,agn,1719587055.341321
ANT2024qy9q5fte29jr,U9DHCDBDL,foley,not_agn,1719597580.022283
ANT2024ht4872poxde2,UQ2BR0UMV,gaglian2,agn,1719763767.341867
ANT2024e2gmi5we68lj,UQ2BR0UMV,gaglian2,agn,1719763872.648589
ANT2024uded4yur5z8f,UQ2BR0UMV,gaglian2,agn,1720012570.096333
ANT2024xzon0jurvow5,UQ2BR0UMV,gaglian2,agn,1720012593.975222
ANT2024qy9q5fte29jr,UQ2BR0UMV,gaglian2,not_agn,1720012675.0535
ANT2024xzon0jurvow5,U9FKJJT6G,gnarayan,agn,1720019189.811232
ANT2024uded4yur5z8f,U9FKJJT6G,gnarayan,agn,1720019251.360073
ANT20239isdpk4gf9z5,U9FKJJT6G,gnarayan,agn,1720019268.981749
ANT20231w61tx3b7kc6,U9FKJJT6G,gnarayan,not_agn,1720019357.119437
ANT2024wxoo6yd1lwgm,U9FKJJT6G,gnarayan,not_agn,1720620862.727683
ANT2024wxoo6yd1lwgm,U9DHCDBDL,foley,not_agn,1720625640.243333
ANT2024ygywihig1v4l,U9FKJJT6G,gnarayan,not_agn,1720703725.407133
ANT2024ygywihig1v4l,U9DHCDBDL,foley,not_agn,1720712246.014914
ANT2024mballl35h17n,U9FKJJT6G,gnarayan,not_agn,1720898103.965217
ANT202488hhv1fsbiuw,UQ2BR0UMV,gaglian2,not_anomalous,1721098235.575338
ANT202480i1o8p3jwei,U02JXRVMCLW,vav5084,not_anomalous,1721914624.065035
ANT202480i1o8p3jwei,U9FKJJT6G,gnarayan,anomalous,1722016252.979746
ANT2023w926ux8ekm12,U9FKJJT6G,gnarayan,anomalous,1722286883.847586
ANT2024dfjzpw10j1xc,U9FKJJT6G,gnarayan,anomalous,1722286939.744263
ANT20248c989ksw6iac,U9FKJJT6G,gnarayan,anomalous,1722690618.041052
ANT2024w2h7sorgwmjq,U9FKJJT6G,gnarayan,not_anomalous,1723042481.68968
ANT2020lgya,U9FKJJT6G,gnarayan,not_anomalous,1723042501.432119
ANT2020aftik,U9FKJJT6G,gnarayan,not_anomalous,1723042508.758319
ANT2019clz6a,U9FKJJT6G,gnarayan,not_anomalous,1723042515.1069
ANT2020lgya,U9FKJJT6G,gnarayan,not_anomalous,1723209142.690917
ANT2023qgg4qhrnb17d,U9FKJJT6G,gnarayan,not_anomalous,1723209175.480251
ANT2024glev6hmnnqk5,U9FKJJT6G,gnarayan,anomalous,1723298918.074438
ANT2024d04djawlcrvj,U9FKJJT6G,gnarayan,anomalous,1723298955.544479
ANT2024rpb32v23or8w,U9FKJJT6G,gnarayan,not_anomalous,1723298987.312128
ANT202486u9wj0gsyuq,U9FKJJT6G,gnarayan,very_anomalous,1723413675.321668
ANT2023w926ux8ekm12,UU67S2Y4S,paleo2,anomalous,1723473145.976912
ANT20242tn8m366habf,U9FKJJT6G,gnarayan,anomalous,1723481577.894214
ANT2024651qed6io3o4,U9FKJJT6G,gnarayan,anomalous,1723650952.318454
ANT2024e78vpnqxwr1o,U9FKJJT6G,gnarayan,not_anomalous,1724850579.08765
ANT20245ni059vkh4b2,U9FKJJT6G,gnarayan,very_anomalous,1725131012.00137
ANT20245ni059vkh4b2,U9FKJJT6G,gnarayan,anomalous,1725131242.251581
ANT2024llqzqywpw5ed,U9FKJJT6G,gnarayan,anomalous,1725546663.262877
ANT2024durdisj86uar,U9FKJJT6G,gnarayan,anomalous,1725546737.822575
ANT2019clz6a,U07KKRDV23H,yize.dong,anomalous,1725980527.233891
ANT2019clz6a,U07KKRDV23H,yize.dong,not_anomalous,1725980542.575647
ANT2024kbv56za2x5n0,U9FKJJT6G,gnarayan,anomalous,1726060868.65099
ANT2019clz6a,UQ2BR0UMV,gaglian2,agn,1726185206.262104
ANT2024durdisj86uar,U02JXRVMCLW,vav5084,anomalous,1726325737.440272
ANT202486u9wj0gsyuq,U02JXRVMCLW,vav5084,anomalous,1726325739.114461
ANT20241w65hirfspfp,U9FKJJT6G,gnarayan,anomalous,1726752858.32274
ANT20241w65hirfspfp,U9FKJJT6G,gnarayan,agn,1726752861.573759
ANT20241w65hirfspfp,U9FKJJT6G,gnarayan,anomalous,1726752863.943652
ANT2020aftik,U02JXRVMCLW,vav5084,not_anomalous,1727184025.185077
ANT2023wigbbhm1g8tr,U02JXRVMCLW,vav5084,not_anomalous,1727184027.745446
ANT2024m9f2xaf7oij5,U9FKJJT6G,gnarayan,agn,1727448813.977936
ANT2021ztyey,U9FKJJT6G,gnarayan,not_anomalous,1727626206.039989
ANT20244ebya0c8isid,U9FKJJT6G,gnarayan,anomalous,1727707835.446942
ANT2024dta7iimfxo2r,UQ2BR0UMV,gaglian2,anomalous,1728480844.818441
ANT2024dta7iimfxo2r,UQ2BR0UMV,gaglian2,anomalous,1728480918.532006
ANT2024dta7iimfxo2r,UQ2BR0UMV,gaglian2,anomalous,1728480923.436662
ANT2024dta7iimfxo2r,UQ2BR0UMV,gaglian2,anomalous,1728480933.737182
ANT2024dta7iimfxo2r,UQ2BR0UMV,gaglian2,anomalous,1728481149.126808
ANT2024dta7iimfxo2r,UQ2BR0UMV,gaglian2,anomalous,1728502818.077758
ANT2024dta7iimfxo2r,U02JXRVMCLW,vav5084,anomalous,1728652248.149021
ANT2024dta7iimfxo2r,U9FKJJT6G,gnarayan,anomalous,1728664624.374854
ANT2024cbvd01evkjac,U9FKJJT6G,gnarayan,anomalous,1728912842.814383
ANT2020lgya,U02JXRVMCLW,vav5084,not_anomalous,1729084443.015605
ANT2024ebeaqk6muojm,U9FKJJT6G,gnarayan,anomalous,1730483971.862938
ANT2024dfjzpw10j1xc,U07KKRDV23H,yize.dong,anomalous,1730865925.292425
ANT2023w926ux8ekm12,UQ2BR0UMV,gaglian2,anomalous,1731177543.60208
ANT2024okcl9x1etsh6,U9FKJJT6G,gnarayan,anomalous,1731199558.332804
ANT2018fs5ua,U9FKJJT6G,gnarayan,agn,1731199596.667597
ANT2024fcyw5t5n17pr,U9FKJJT6G,gnarayan,anomalous,1732544425.614659
ANT2024bbgd5gx947zl,U9FKJJT6G,gnarayan,anomalous,1732635964.133834
ANT20203ce7m,U9FKJJT6G,gnarayan,not_anomalous,1732636122.428145
ANT2024c8egngm966ci,U9FKJJT6G,gnarayan,anomalous,1733097854.116437
ANT2020aenhuyq,U9FKJJT6G,gnarayan,agn,1733325624.616511
ANT20228dw8cg11e7jj,U9FKJJT6G,gnarayan,not_anomalous,1733575051.491208
ANT2024dfjzpw10j1xc,UQ2BR0UMV,gaglian2,anomalous,1733591641.964827
ANT202488kzc4r5msft,U9FKJJT6G,gnarayan,agn,1735604518.124801
ANT20239isdpk4gf9z5,U02JXRVHSRL,kmd6851,not_anomalous,
ANT202488kzc4r5msft,U02JXRVHSRL,kmd6851,not_anomalous,
ANT2025cu5c5y50oha6,U02JXRVMCLW,vav5084,anomalous,
ANT2025b0m9m7n0g9yz,U02JXRVHSRL,kmd6851,anomalous,
ANT20230ywwjqb62871,U02JXRVHSRL,kmd6851,not_anomalous,
ANT2024sn6oe0p89hje,U02JXRVHSRL,kmd6851,very_anomalous,
ANT2025sl9n1ox6rkqm,U02JXRVHSRL,kmd6851,anomalous,
ANT20248py4iq5we10g,U02JXRVHSRL,kmd6851,anomalous,
ANT2024mopoxijfsglz,U02JXRVHSRL,kmd6851,anomalous,
ANT2024382nx87bbpk3,U02JXRVHSRL,kmd6851,very_anomalous,
ANT2024382nx87bbpk3,U02JXRVMCLW,vav5084,very_anomalous,
ANT20248py4iq5we10g,U9FKJJT6G,gnarayan,not_anomalous,
ANT2024mopoxijfsglz,U9FKJJT6G,gnarayan,anomalous,
ANT2025b0m9m7n0g9yz,U9FKJJT6G,gnarayan,anomalous,
ANT2023s33gyb4w2hiv,U9FKJJT6G,gnarayan,not_anomalous,
ANT20230ywwjqb62871,U9FKJJT6G,gnarayan,agn,
ANT202498jeqxvlctph,U9FKJJT6G,gnarayan,anomalous,
ANT2024382nx87bbpk3,U9FKJJT6G,gnarayan,very_anomalous,
ANT20223n6lqzwa0fwf,U02JXRVHSRL,kmd6851,not_anomalous,
ANT20223n6lqzwa0fwf,U9FKJJT6G,gnarayan,not_anomalous,
ANT20223n6lqzwa0fwf,U9DHCDBDL,foley,not_anomalous,
ANT2024acs1pgl07wih,U9FKJJT6G,gnarayan,anomalous,
ANT2024acs1pgl07wih,U043E43B3LH,cbr5597,anomalous,
ANT2023innu4uv1zzj6,UQ2BR0UMV,gaglian2,not_anomalous,
ANT2025b0m9m7n0g9yz,UQ2BR0UMV,gaglian2,anomalous,
ANT20223n6lqzwa0fwf,U02JXRVMCLW,vav5084,not_anomalous,
ANT2023innu4uv1zzj6,U9FKJJT6G,gnarayan,not_anomalous,
ANT2025b0m9m7n0g9yz,U02JXRVMCLW,vav5084,anomalous,
ANT2025b0m9m7n0g9yz,U043E43B3LH,cbr5597,anomalous,
ANT20223n6lqzwa0fwf,U043E43B3LH,cbr5597,not_anomalous,
