Transient,UserID,UserName,Response,Timestamp
ANT20239isdpk4gf9z5,U02JXRVHSRL,kmd6851,downvote,
ANT202488kzc4r5msft,U02JXRVHSRL,kmd6851,downvote,
ANT2025cu5c5y50oha6,U02JXRVMCLW,vav5084,downvote,
ANT2025b0m9m7n0g9yz,U02JXRVHSRL,kmd6851,upvote,
ANT20230ywwjqb62871,U02JXRVHSRL,kmd6851,downvote,
ANT2024sn6oe0p89hje,U02JXRVHSRL,kmd6851,strong_upvote,
ANT2025sl9n1ox6rkqm,U02JXRVHSRL,kmd6851,upvote,
ANT20248py4iq5we10g,U02JXRVHSRL,kmd6851,upvote,
ANT2024mopoxijfsglz,U02JXRVHSRL,kmd6851,upvote,
ANT2024382nx87bbpk3,U02JXRVHSRL,kmd6851,strong_upvote,
ANT2024382nx87bbpk3,U02JXRVMCLW,vav5084,strong_upvote,
ANT20248py4iq5we10g,U9FKJJT6G,gnarayan,downvote,
ANT2024mopoxijfsglz,U9FKJJT6G,gnarayan,upvote,
ANT2025b0m9m7n0g9yz,U9FKJJT6G,gnarayan,upvote,
ANT2023s33gyb4w2hiv,U9FKJJT6G,gnarayan,downvote,
ANT20230ywwjqb62871,U9FKJJT6G,gnarayan,AGN,
ANT202498jeqxvlctph,U9FKJJT6G,gnarayan,upvote,
ANT2024382nx87bbpk3,U9FKJJT6G,gnarayan,strong_upvote,
ANT20223n6lqzwa0fwf,U02JXRVHSRL,kmd6851,downvote,
ANT20223n6lqzwa0fwf,U9FKJJT6G,gnarayan,downvote,
ANT20223n6lqzwa0fwf,U9DHCDBDL,foley,downvote,
ANT2024acs1pgl07wih,U9FKJJT6G,gnarayan,upvote,
ANT2024acs1pgl07wih,U043E43B3LH,cbr5597,upvote,
ANT2023innu4uv1zzj6,UQ2BR0UMV,gaglian2,downvote,
ANT2025b0m9m7n0g9yz,UQ2BR0UMV,gaglian2,upvote,
ANT20223n6lqzwa0fwf,U02JXRVMCLW,vav5084,downvote,
ANT2023innu4uv1zzj6,U9FKJJT6G,gnarayan,downvote,
ANT2025b0m9m7n0g9yz,U02JXRVMCLW,vav5084,upvote,
ANT2025b0m9m7n0g9yz,U043E43B3LH,cbr5597,upvote,
ANT20223n6lqzwa0fwf,U043E43B3LH,cbr5597,downvote,
ANT2024ygywihig1v4l,U9FKJJT6G,gnarayan,upvote,
ANT2025sl9n1ox6rkqm,U9FKJJT6G,gnarayan,upvote,
ANT20250n0i75l1p9el,U9FKJJT6G,gnarayan,upvote,
ANT2025nfi7sfj1jutl,U9FKJJT6G,gnarayan,upvote,
ANT2025cu5c5y50oha6,U9FKJJT6G,gnarayan,downvote,
ANT2024xtd55tcl3g2u,U9FKJJT6G,gnarayan,upvote,
ANT2024xtd55tcl3g2u,U9CN05QKC,cdkilpat,upvote,
ANT2023ciy08j03mxes,U02JXRVMCLW,vav5084,strong_upvote,
ANT2024ygywihig1v4l,U02JXRVMCLW,vav5084,upvote,
ANT2025sl9n1ox6rkqm,U02JXRVMCLW,vav5084,downvote,
ANT20253qiqfnn98e4x,U02JXRVMCLW,vav5084,downvote,
ANT2024mopoxijfsglz,U02JXRVMCLW,vav5084,upvote,
ANT20250n0i75l1p9el,U02JXRVMCLW,vav5084,upvote,
ANT2023ciy08j03mxes,U9FKJJT6G,gnarayan,upvote,
ANT2024jnuqb93g6yi2,U9FKJJT6G,gnarayan,AGN,
ANT20253qiqfnn98e4x,U9FKJJT6G,gnarayan,downvote,
ANT20253qiqfnn98e4x,U9DHCDBDL,foley,downvote,
ANT2024sn6oe0p89hje,U9DHCDBDL,foley,strong_upvote,
ANT2024d4pe32pyeai3,U9DHCDBDL,foley,downvote,
ANT2025zsenwxl95b0w,U9FKJJT6G,gnarayan,downvote,
ANT2024wgdhrr4dve23,U9FKJJT6G,gnarayan,downvote,
ANT20256jqeorf8pfgd,U9FKJJT6G,gnarayan,upvote,
ANT202533lwx8et8su2,U9FKJJT6G,gnarayan,strong_upvote,
ANT2025awg48v3wsa51,U9FKJJT6G,gnarayan,upvote,
ANT2025j5ptbie5rvaj,U9FKJJT6G,gnarayan,downvote,
ANT2025azow07iouxrr,U9FKJJT6G,gnarayan,downvote,
ANT2025vmj1ywpmh76x,U9FKJJT6G,gnarayan,upvote,
ANT2025fx99wf7dzjm7,U9FKJJT6G,gnarayan,strong_upvote,
ANT20252gke45rbqr2f,U9FKJJT6G,gnarayan,upvote,
ANT2024d4pe32pyeai3,U9FKJJT6G,gnarayan,AGN,
ANT2025fi48fkcs8il0,U9FKJJT6G,gnarayan,upvote,
ANT2024bbgd5gx947zl,U9FKJJT6G,gnarayan,upvote,
ANT2025dcqioe7c0e2y,U02JXRVMCLW,vav5084,downvote,1743852007.187599
ANT2025jqv1nsybpjni,U9FKJJT6G,gnarayan,upvote,1747246923.074099
ANT2025jqv1nsybpjni,U9FKJJT6G,gnarayan,downvote,1743852007.187599
ANT2025dcqioe7c0e2y,U9FKJJT6G,gnarayan,downvote,1743852007.187599
ANT20253p1fnpw18nxt,U9FKJJT6G,gnarayan,upvote,1745234885.312219
ANT2025jqv1nsybpjni,U02JXRVMCLW,vav5084,strong_upvote,1743852007.187599
ANT202541t1esm1ubza,U9FKJJT6G,gnarayan,upvote,1744377054.615759
ANT2025ugsbo5fju30y,U9FKJJT6G,gnarayan,upvote,1744231641.601979
ANT20254u6c2m13t948,U9FKJJT6G,gnarayan,upvote,1744231641.601979
ANT20253kuwjeql3ll8,U9FKJJT6G,gnarayan,downvote,1744377054.615759
ANT20250wwig6uuyl2v,U9FKJJT6G,gnarayan,upvote,1744377054.615759
ANT20254u6c2m13t948,U9FKJJT6G,gnarayan,downvote,1744323952.006429
ANT2025w6domg1h4t5g,U9FKJJT6G,gnarayan,downvote,1744715420.909029
ANT2024ojhmbm6uwyrc,U9FKJJT6G,gnarayan,upvote,1744323952.006429
ANT2024ojhmbm6uwyrc,U9FKJJT6G,gnarayan,strong_upvote,1744323952.006429
ANT2024pcedwu51c9td,U9FKJJT6G,gnarayan,downvote,1744323952.006429
ANT20240yb2v0amgcmh,U02JXRVMCLW,vav5084,upvote,1744818168.848829
ANT20254u6c2m13t948,U02JXRVMCLW,vav5084,downvote,1744818170.126509
ANT20253p1fnpw18nxt,U02JXRVMCLW,vav5084,upvote,1744818171.382949
ANT2025g6jzcqy9kq1k,U02JXRVMCLW,vav5084,downvote,1744818172.679329
ANT2025ugsbo5fju30y,U02JXRVMCLW,vav5084,downvote,1744818173.756029
ANT2025w6domg1h4t5g,U02JXRVMCLW,vav5084,downvote,1744818174.856539
ANT2024ojhmbm6uwyrc,U02JXRVMCLW,vav5084,upvote,1745234883.704219
ANT2025cpdqyrlkc1q0,U02JXRVMCLW,vav5084,upvote,1745234887.191649
ANT2025cpdqyrlkc1q0,U9FKJJT6G,gnarayan,downvote,1745234887.191649
ANT2025cpdqyrlkc1q0,U9FKJJT6G,gnarayan,upvote,1745234887.191649
ANT2025ncn8facjbfea,U9FKJJT6G,gnarayan,upvote,1745150525.541489
ANT2024dvq8k5ah5y1o,U9FKJJT6G,gnarayan,upvote,1745150524.260789
ANT20250eaij4l8k53y,U9FKJJT6G,gnarayan,upvote,1745150522.886919
ANT2024znv9avlj9xet,U9FKJJT6G,gnarayan,upvote,1745150521.654569
ANT2024w6nn168caegw,U9FKJJT6G,gnarayan,upvote,1745150520.260549
