name,ra,dec,nuclear,2MASS,Bmag,Dist,GWGC,HyperLEDA,M*,PAHyp,PGC,SDSS-DR16Q,Type,WISExSCOS,any_posterior,best_cat,best_cat_release,dec_ivar,dered_flux_r,dered_mag_r,e_Bmag,e_M*,e_logd25Hyp,e_logr25Hyp,extra_cat_cols,f_M*,f_dL,fitbits,flux_ivar_r,flux_r,high_host_confidence,host_2_absmag_info,host_2_absmag_mean,host_2_absmag_posterior,host_2_absmag_std,host_2_dec,host_2_name,host_2_objID,host_2_offset_info,host_2_offset_mean,host_2_offset_posterior,host_2_offset_std,host_2_ra,host_2_redshift_info,host_2_redshift_mean,host_2_redshift_posterior,host_2_redshift_std,host_2_total_posterior,host_absmag_info,host_absmag_mean,host_absmag_posterior,host_absmag_std,host_any_non_ratio,host_dec,host_name,host_objID,host_offset_info,host_offset_mean,host_offset_posterior,host_offset_std,host_prob_ratio,host_ra,host_redshift_info,host_redshift_mean,host_redshift_posterior,host_redshift_std,host_total_posterior,idx,logd25Hyp,logr25Hyp,mag_r,missedcat_posterior,nobs_g,nobs_r,nobs_z,none_posterior,query_time,ra_ivar,redshift,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,shape_r,shape_r_ivar,smallcone_posterior,type,z_phot_mean,z_phot_median,z_phot_std,z_spec
2025mus,316.850003301,-23.6266951993,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025msz,350.1623304,42.865427,False,,,,,,,,,,,,0.9999999999999944,glade,latest,,,,,,,,"{'Dist': 75.5092, 'e_logd25Hyp': 0.07, 'PAHyp': 117.5, 'e_Bmag': 0.764, 'GWGC': nan, 'SDSS-DR16Q': nan, 'redshift': 0.0173978696887348, 'Bmag': 15.28, 'logr25Hyp': 0.1, 'e_M*': ' 3.000e-01', 'e_logr25Hyp': 0.03, 'logd25Hyp': 0.75, 'PGC': '       ', '2MASS': '23203887+4251552', 'WISExSCOS': 'J232038.87+425155.4', 'f_M*': 0.0, 'HyperLEDA': '2207802                      ', 'f_dL': 3.0, 'Type': 'G', 'M*': '   2.00000'}",,,,,,False,,,,,,,,,,,,,,,,,0.9999999999999944,,-19.1099993388728,,,179399187608039.97,,2207802.0,1037929.0,,0.9683682699296324,,,1.0,,,0.0173978696887348,,,0.9999999999999944,3.0,,,,1.8580537502857278e-15,,,,5.574161250857182e-15,0.007699966430664,,,,,,,,,1.8580537502857278e-15,,,,,
2025hnt,208.007480786,15.668099847,False,,,,,,,,,,,,0.9999466195088912,decals,dr9,,,,,,,,"{'shape_e2_ivar': 82967.61, 'shape_r_ivar': 8717.704, 'flux_ivar_r': 5.856016, 'shape_e1': 0.129319, 'shape_e1_ivar': 119642.734, 'z_phot_std': 0.069827, 'fitbits': 528, 'dered_mag_r': 17.813936, 'dered_flux_r': 74.89035, 'type': 'SER', 'z_spec': -99.0, 'mag_r': 17.8754, 'z_phot_median': 0.073268, 'z_phot_mean': 0.085163, 'nobs_g': 3, 'nobs_z': 3, 'shape_r': 7.038974, 'nobs_r': 3, 'ra_ivar': 152507140000.0, 'flux_r': 70.76846, 'dec_ivar': 99634730000.0, 'shape_e2': -0.233418}",,,,,,True,,,,,,,,,,,,,,,,,0.0,,-20.13068956787252,,,18732.435740874585,,9906627347681976.0,9906627347681976.0,,8.87652135405546,,,inf,,,0.085163,,,0.9999466195088912,5.0,,,,5.338027566279136e-05,,,,5.338049110863815e-05,1.5687007904052734,,,,,,,,,0.0,,,,,
2025ikn,316.329931741,-17.6525545947,False,,,,,,,,,,,,,,,,,,,,,,{},,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2025kmx,185.927511902,40.0399473287,False,,,,,,,,,,,,0.9999530188504422,decals,dr9,,,,,,,,"{'shape_e2_ivar': 47972.57, 'shape_r_ivar': 591.16626, 'flux_ivar_r': 13.717239, 'shape_e1': 0.020526, 'shape_e1_ivar': 22173.139, 'z_phot_std': 0.067436, 'fitbits': 16, 'dered_mag_r': 19.283186, 'dered_flux_r': 19.351992, 'type': 'SER', 'z_spec': -99.0, 'mag_r': 19.322477, 'z_phot_median': 0.064946, 'z_phot_mean': 0.085678, 'nobs_g': 4, 'nobs_z': 4, 'shape_r': 6.125601, 'nobs_r': 4, 'ra_ivar': 17280890000.0, 'flux_r': 18.6642, 'dec_ivar': 16213187000.0, 'shape_e2': -0.540514}",,,,,,False,,,,,,,,,,,,,,,,,0.1857765342849445,,-18.6752970043365,,,21284.1326417096,,9907734900704104.0,9907734900704104.0,,15.777367083830766,,,3.5275260617976043,,,0.085678,,,0.6553315663605779,4.0,,,,4.69795204082543e-05,,,,4.698114955790481e-05,1.3715839385986328,,,,,,,,,0.0,,,,,
2025jqt,344.4849828,-6.2588036,False,,,,,,,,,,,,0.963241499915271,decals,dr9,,,,,,,,"{'shape_e2_ivar': 3056911.0, 'shape_r_ivar': 376536.12, 'flux_ivar_r': 26.312328, 'shape_e1': 0.10421, 'shape_e1_ivar': 3308587.8, 'z_phot_std': 0.012323, 'fitbits': 0, 'dered_mag_r': 16.339056, 'dered_flux_r': 291.32483, 'type': 'SER', 'z_spec': -99, 'mag_r': 16.441236, 'z_phot_median': 0.053055, 'z_phot_mean': 0.05183, 'nobs_g': 3, 'nobs_z': 3, 'shape_r': 2.408906, 'nobs_r': 4, 'ra_ivar': 15161208000000.0, 'flux_r': 265.1582, 'dec_ivar': 11621723000000.0, 'shape_e2': -0.096944}",,,,,,True,,,,,,,,,,,,,,,,,0.0,,-20.47644895084475,,,26.204592072445305,,9906619151156560.0,9906619151156560.0,,15.590746463691456,,,inf,,,0.05183,,,0.963241499915271,1.0,,,,0.032385033636539,,,,0.036758500084729,1.4757640361785889,,,,,,,,,0.0,,,,,
2025muk,317.163528981,-27.3658505277,False,,,,,,,,,,,,,,,,,,,,,,{},,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2025efb,300.585762,-20.230103,False,,,,,,,,,,,,,,,,,,,,,,{},,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2025kkv,149.942363,-6.740633,False,,,,,,,,,,,,,,,,,,,,,,{},,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2025miv,220.7548834,32.9189715,True,,,,,,,,,,,,0.9999999999999925,decals,dr9,,,,,,,,"{'shape_e2_ivar': 0.0, 'shape_r_ivar': 13456.693, 'flux_ivar_r': 69.68695, 'shape_e1': 0.0, 'shape_e1_ivar': 0.0, 'z_phot_std': 0.072125, 'fitbits': 0, 'dered_mag_r': 19.788038, 'dered_flux_r': 12.155828, 'type': 'REX', 'z_spec': -99.0, 'mag_r': 19.814306, 'z_phot_median': 0.206306, 'z_phot_mean': 0.203671, 'nobs_g': 3, 'nobs_z': 3, 'shape_r': 0.958038, 'nobs_r': 3, 'ra_ivar': 145552850000.0, 'flux_r': 11.865276, 'dec_ivar': 148628490000.0, 'shape_e2': 0.0}",,,,,,True,,,,,,,,,,,,,,,,,0.0,,-20.212382455727607,,,133440070739657.31,,9907732780355072.0,9907732780355072.0,,0.2442600867734544,,,inf,,,0.203671,,,0.9999999999999925,1.0,,,,2.4980002744727774e-15,,,,7.494000823418332e-15,1.3970868587493896,,,,,,,,,2.4980002744727774e-15,,,,,
