name,ra,dec,nuclear,2MASS,Bmag,Dist,GWGC,HyperLEDA,M*,PAHyp,PGC,SDSS-DR16Q,Type,WISExSCOS,any_posterior,best_cat,best_cat_release,dec_ivar,dered_flux_r,dered_mag_r,e_Bmag,e_M*,e_logd25Hyp,e_logr25Hyp,extra_cat_cols,f_M*,f_dL,fitbits,flux_ivar_r,flux_r,high_host_confidence,host_2_absmag_info,host_2_absmag_mean,host_2_absmag_posterior,host_2_absmag_std,host_2_dec,host_2_name,host_2_objID,host_2_offset_info,host_2_offset_mean,host_2_offset_posterior,host_2_offset_std,host_2_ra,host_2_redshift_info,host_2_redshift_mean,host_2_redshift_posterior,host_2_redshift_std,host_2_total_posterior,host_absmag_info,host_absmag_mean,host_absmag_posterior,host_absmag_std,host_any_non_ratio,host_dec,host_name,host_objID,host_offset_info,host_offset_mean,host_offset_posterior,host_offset_std,host_prob_ratio,host_ra,host_redshift_info,host_redshift_mean,host_redshift_posterior,host_redshift_std,host_total_posterior,idx,logd25Hyp,logr25Hyp,mag_r,missedcat_posterior,nobs_g,nobs_r,nobs_z,none_posterior,query_time,ra_ivar,redshift,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,shape_r,shape_r_ivar,smallcone_posterior,type,z_phot_mean,z_phot_median,z_phot_std,z_spec
2025apn,215.1934409101081,5.492346202129824,False,,,,,,,,,,,,0.9435324751116235,decals,dr9,1506163100.0,5.240012,20.70167,,,,,"{'nobs_g': 3, 'flux_r': 4.941099, 'type': 'EXP', 'dec_ivar': 1506163100.0, 'shape_e1': 0.290929, 'fitbits': 9216, 'nobs_z': 3, 'shape_e1_ivar': 3284.9456, 'dered_mag_r': 20.70167, 'z_phot_std': 0.302137, 'flux_ivar_r': 33.706207, 'nobs_r': 4, 'z_phot_mean': 0.401561, 'dered_flux_r': 5.240012, 'z_spec': -99.0, 'ra_ivar': 4101529900.0, 'z_phot_median': 0.284546, 'shape_r_ivar': 135.55655, 'shape_e2_ivar': 1195.6345, 'mag_r': 20.765442, 'shape_e2': 0.000908, 'shape_r': 3.897753}",,,9216.0,33.706207,4.941099,True,r,-17.41346476981303,195.37086817552262,0.9112126500000001,5.49493409505763,,9906623547900960,,9.349361546339717,130853.30952207488,0.0945858075147863,215.19322079055863,PHOT,0.030602,2712013.4130686307,0.011823,0.0001657399291922566,r,-20.992778135594612,6444.507296258997,1.0350835,16.709294005302578,5.491461898267943,9906623547900993,9906623547900993,,6.758122720043426,2404069.714011144,0.10206204633557464,197.9119483386178,215.1951043441164,PHOT,0.401561,1572971.7698552602,0.2007805,0.03280191230394406,2,,,20.765442,0.056467255275826536,3.0,4.0,3.0,0.0564675248883765,1.7788259983062744,4101529900.0,,0.290929,3284.9456,0.000908,1195.6345,3.897753,135.55655,0.0,EXP,0.401561,0.284546,0.302137,-99.0
2025acp,200.7959078450732,32.17816070787842,False,,,,,,,,,,,,0.9853635161484801,decals,dr9,3997607400000.0,306.82236,16.282782,,,,,"{'nobs_g': 3, 'flux_r': 295.937, 'type': 'SER', 'dec_ivar': 3997607400000.0, 'shape_e1': 0.40288, 'fitbits': 528, 'nobs_z': 4, 'shape_e1_ivar': 4628770.0, 'dered_mag_r': 16.282782, 'z_phot_std': 0.01338, 'flux_ivar_r': 9.203148, 'nobs_r': 3, 'z_phot_mean': 0.036247, 'dered_flux_r': 306.82236, 'z_spec': -99.0, 'ra_ivar': 14606747000000.0, 'z_phot_median': 0.034204, 'shape_r_ivar': 100595.75, 'shape_e2_ivar': 3628411.8, 'mag_r': 16.322002, 'shape_e2': 0.275246, 'shape_r': 4.530303}",,,528.0,9.203148,295.937,True,r,-19.210250593774287,333.1626356684284,1.1772977,32.23680856814646,,9906633025391872,,297.84955215006016,0.0,0.09452747655731769,200.86487814395255,PHOT,0.603931,13.893509567862795,0.3019655,0.0,r,-19.731591622762803,745.6932527149974,0.8141391000000001,67.32242020313875,32.17866409654437,9906633025390824,9906633025390824,,3.560442558524059,1982525.5470835026,0.09109694024077154,inf,200.79691261145203,PHOT,0.036247,15641818.911592798,0.01338,0.9850994502762429,3,,,16.322002,0.014636416849000012,3.0,3.0,4.0,0.01463648385151994,1.600639820098877,14606747000000.0,,0.40288,4628770.0,0.275246,3628411.8,4.530303,100595.75,0.0,SER,0.036247,0.034204,0.01338,-99.0
2025cbj,239.91691489524155,27.111342653000378,False,,,,,,,,,,,,0.9991900990285342,decals,dr9,65938030000.0,2.21282,21.637634,,,,,"{'nobs_g': 3, 'flux_r': 2.037816, 'type': 'REX', 'dec_ivar': 65938030000.0, 'shape_e1': 0.0, 'fitbits': 0, 'nobs_z': 3, 'shape_e1_ivar': 0.0, 'dered_mag_r': 21.637634, 'z_phot_std': 0.176871, 'flux_ivar_r': 368.59586, 'nobs_r': 3, 'z_phot_mean': 0.201596, 'dered_flux_r': 2.21282, 'z_spec': -99.0, 'ra_ivar': 76260190000.0, 'z_phot_median': 0.130746, 'shape_r_ivar': 4733.143, 'shape_e2_ivar': 0.0, 'mag_r': 21.727087, 'shape_e2': 0.0, 'shape_r': 0.353057}",,,0.0,368.59586,2.037816,True,r,-19.725809059782243,59.273917570838705,1.1770942500000001,27.193831902993733,,9906631393544292,,298.1002538966784,0.0,0.09627698565920825,239.9087977886812,PHOT,0.732536,3.4991490454177404e-05,0.28784,0.0,r,-18.33792807434208,10.969951421667764,1.0818817,1233.7188548126792,27.11139638023535,9906631309459727,9906631309459727,,0.2272889560429904,829031.6072556704,0.0876160194983563,inf,239.916897670856,PHOT,0.201596,25043687.534796618,0.100798,0.9991900990285342,5,,,21.727087,0.0008098991268315371,3.0,3.0,3.0,0.0008099009714658575,2.0589423179626465,76260190000.0,,0.0,0.0,0.0,0.0,0.353057,4733.143,0.0,REX,0.201596,0.130746,0.176871,-99.0
15CYSEbhv,205.52215430948232,28.695626782492585,False,,,,,,,,,,,,0.982409274963843,decals,dr9,742728700000.0,12.834242,19.729074,,,,,"{'nobs_g': 4, 'flux_r': 12.536789, 'type': 'SER', 'dec_ivar': 742728700000.0, 'shape_e1': -0.078087, 'fitbits': 0, 'nobs_z': 5, 'shape_e1_ivar': 15793.465, 'dered_mag_r': 19.729074, 'z_phot_std': 0.041022, 'flux_ivar_r': 171.99377, 'nobs_r': 4, 'z_phot_mean': 0.238774, 'dered_flux_r': 12.834242, 'z_spec': -99.0, 'ra_ivar': 763095000000.0, 'z_phot_median': 0.236192, 'shape_r_ivar': 29581.781, 'shape_e2_ivar': 27575.494, 'mag_r': 19.754534, 'shape_e2': 0.229966, 'shape_r': 0.878267}",,,0.0,171.99377,12.536789,True,r,-20.02584559802334,817.7122995178308,1.2047116500000001,28.75644301660688,,9906631886181312,,285.7167972328397,0.0,0.09403241040641568,205.580300915438,PHOT,1.007418,4.26863854607107e-15,0.269872,0.0,r,-20.65990149417075,1986.1906246466533,0.9864537000000001,55.84814002518614,28.69562556859852,9906631886180181,9906631886180181,,0.11708391425688922,23055853.747612413,0.06187171800280325,inf,205.52215251837316,PHOT,0.238774,845591.3815667585,0.041022,0.9797195721647958,1,,,19.754534,0.01759069700933951,4.0,4.0,5.0,0.01759072503615699,2.0142672061920166,763095000000.0,,-0.078087,15793.465,0.229966,27575.494,0.878267,29581.781,0.0,SER,0.238774,0.236192,0.041022,-99.0
2025gjr,184.83312737744524,11.955631251630951,False,12191939+1157166,16.53,284.446,,1401402,   4.00000,54.7,       ,,G,J121919.38+115716.6,0.8643364887911501,glade,latest,,,,0.8265000000000001, 2.000e+00,0.09,0.03,"{'PGC': '       ', 'logd25Hyp': 0.6, 'e_logd25Hyp': 0.09, 'f_M*': 1.0, 'HyperLEDA': '1401402', 'e_Bmag': 0.8265000000000001, 'Dist': 284.446, 'M*': '   4.00000', 'SDSS-DR16Q': nan, 'f_dL': 3.0, 'Bmag': 16.53, 'Type': 'G', 'e_M*': ' 2.000e+00', 'PAHyp': 54.7, 'GWGC': nan, '2MASS': '12191939+1157166', 'logr25Hyp': 0.26, 'redshift': 0.0633735941098393, 'e_logr25Hyp': 0.03, 'WISExSCOS': 'J121919.38+115716.6'}",1.0,3.0,,,,False,B,-19.28999743736137,0.9423073592930736,0.8965000000000001,11.90496,SDSSJ121922.58+11541,2368866.0,,186.38878047705384,0.0,0.10438574826850414,184.844,PHOT,0.0619915492258168,4282871.06122857,0.018597464767745,0.0,B,-20.739999157455173,2.808545451092089,0.8265000000000001,6.371178816539178,11.954637,1401402,1104294.0,,8.956794376025126,4699.828917569374,0.09602828536001101,inf,184.830795,SPEC,0.0633735941098393,4498302.813150244,0.0190120782329517,0.8643364887911501,3,0.6,0.26,,0.13566351118245584,,,,0.13566351120884995,0.02276611328125,,0.0633735941098393,,,,,,,0.0,,,,,
2025fuh,208.68716312042076,49.64645616635316,False,,,,,,,,,,,,0.9998455306172469,decals,dr9,70119870000.0,6.824966,20.41475,,,,,"{'nobs_g': 3, 'flux_r': 6.620448, 'type': 'EXP', 'dec_ivar': 70119870000.0, 'shape_e1': -0.43291, 'fitbits': 0, 'nobs_z': 4, 'shape_e1_ivar': 4509.9673, 'dered_mag_r': 20.41475, 'z_phot_std': 0.096056, 'flux_ivar_r': 55.54451, 'nobs_r': 3, 'z_phot_mean': 0.123269, 'dered_flux_r': 6.824966, 'z_spec': -99.0, 'ra_ivar': 24693582000.0, 'z_phot_median': 0.120436, 'shape_r_ivar': 1435.4039, 'shape_e2_ivar': 3636.981, 'mag_r': 20.447783, 'shape_e2': 0.236926, 'shape_r': 1.703196}",,,0.0,55.54451,6.620448,True,r,-20.73704106690135,51.627237753863156,0.96156445,49.64304448933502,,9907737517819564,,12.486017886930295,2400.729796488654,0.09831647936263008,208.68811170498304,PHOT,0.200996,1978708.9119153344,0.047463,0.007023061024322685,r,-18.388057802332778,4.558396177777945,1.0207375,6472.77481658234,49.64637269527461,9907737517819545,9907737517819545,,1.9420256668603924,86172.35016800647,0.06743975665414308,141.10998686212153,208.68634238065232,PHOT,0.123269,68433497.56065355,0.0616345,0.9910240488740519,5,,,20.447783,0.00015446885090851493,3.0,3.0,4.0,0.00015446938275309426,1.6372966766357422,24693582000.0,,-0.43291,4509.9673,0.236926,3636.981,1.703196,1435.4039,0.0,EXP,0.123269,0.120436,0.096056,-99.0
2025git,209.17029567240024,27.63470598562855,True,,,,,,,,,,,,0.9999688400040521,decals,dr9,21029556000.0,12.455304,19.761614,,,,,"{'nobs_g': 2, 'flux_r': 12.066937, 'type': 'EXP', 'dec_ivar': 21029556000.0, 'shape_e1': 0.118792, 'fitbits': 0, 'nobs_z': 2, 'shape_e1_ivar': 13559.147, 'dered_mag_r': 19.761614, 'z_phot_std': 0.039229, 'flux_ivar_r': 28.655064, 'nobs_r': 2, 'z_phot_mean': 0.109933, 'dered_flux_r': 12.455304, 'z_spec': -99.0, 'ra_ivar': 34556210000.0, 'z_phot_median': 0.107617, 'shape_r_ivar': 2016.3665, 'shape_e2_ivar': 9466.441, 'mag_r': 19.796007, 'shape_e2': -0.089597, 'shape_r': 2.400889}",,,0.0,28.655064,12.066937,True,r,-19.615619149471307,2.9580648371806015,1.1830682,27.69782953741946,,9906631554042944,,299.6888852221604,0.0,0.09406947866211243,209.23157431764872,PHOT,0.735097,1.106691376067207e-06,0.339964,0.0,r,-18.77359403555554,1.183332828236173,0.9880807000000001,32091.430360778242,27.63426716711568,9906631554041806,9906631554041806,,1.76030569089043,41453.37620095417,0.09605626721929006,inf,209.1700541741135,PHOT,0.109933,16367307.202602524,0.039229,0.9999688400040521,6,,,19.796007,3.115972538380962e-05,2.0,2.0,2.0,3.115999594789648e-05,1.6929399967193604,34556210000.0,,0.118792,13559.147,-0.089597,9466.441,2.400889,2016.3665,0.0,EXP,0.109933,0.107617,0.039229,-99.0
2025iqc,219.83467219408735,3.495162161061494,False,,,,,,,,,,,,0.999795187673687,decals,dr9,859836060000.0,35.58954,18.621695,,,,,"{'nobs_g': 2, 'flux_r': 33.209984, 'type': 'SER', 'dec_ivar': 859836060000.0, 'shape_e1': -0.310725, 'fitbits': 0, 'nobs_z': 2, 'shape_e1_ivar': 102036.86, 'dered_mag_r': 18.621695, 'z_phot_std': 0.024209, 'flux_ivar_r': 36.40235, 'nobs_r': 2, 'z_phot_mean': 0.13339, 'dered_flux_r': 35.58954, 'z_spec': -99.0, 'ra_ivar': 371798640000.0, 'z_phot_median': 0.134614, 'shape_r_ivar': 17938.73, 'shape_e2_ivar': 124448.22, 'mag_r': 18.696829, 'shape_e2': 0.387458, 'shape_r': 2.472649}",,,0.0,36.40235,33.209984,True,r,-19.796277678430215,21.683434210960407,1.1782073000000002,3.5414854641605595,,9906622795876377,,298.67036439453,0.0,0.09995603906954596,219.90362957334813,PHOT,0.75849,2.5551396062408536e-07,0.195213,0.0,r,-20.366622623823833,28.063420702038048,0.93108475,4881.518635484415,3.4956749375794067,9906622795874945,9906622795874945,,2.009753427661485,28749.40798993389,0.09722655052546494,inf,219.8348915452404,PHOT,0.13339,24128404.260920506,0.024209,0.999795187673687,2,,,18.696829,0.00017351861184370756,2.0,2.0,2.0,0.00020481232631297183,1.7739784717559814,371798640000.0,,-0.310725,102036.86,0.387458,124448.22,2.472649,17938.73,0.0,SER,0.13339,0.134614,0.024209,-99.0
2025igl,215.09518096024843,3.3094964980603625,False,,,,,,,,,,,,0.9999124892286473,decals,dr9,1394421700000.0,13.492345,19.674782,,,,,"{'nobs_g': 3, 'flux_r': 12.620575, 'type': 'SER', 'dec_ivar': 1394421700000.0, 'shape_e1': 0.282757, 'fitbits': 0, 'nobs_z': 3, 'shape_e1_ivar': 8605.273, 'dered_mag_r': 19.674782, 'z_phot_std': 0.024957, 'flux_ivar_r': 188.81734, 'nobs_r': 3, 'z_phot_mean': 0.133078, 'dered_flux_r': 13.492345, 'z_spec': -99.0, 'ra_ivar': 1807443600000.0, 'z_phot_median': 0.130662, 'shape_r_ivar': 49968.754, 'shape_e2_ivar': 6826.932, 'mag_r': 19.747303, 'shape_e2': 0.104627, 'shape_r': 0.414702}",,,0.0,188.81734,12.620575,True,r,-20.23855844386658,19.350576088874284,1.1062928,3.3875993173822927,,9906622794630458,,298.46805870311414,0.0,0.1009718405167401,215.12304082164283,PHOT,0.520182,0.001147267838136761,0.08647,0.0,r,-19.308016971263392,6.1773747662625365,0.9837391000000001,11426.164731187528,3.3094211117183345,9906622700389343,9906622700389343,,0.3180351865627524,91055.79000798357,0.09760795009338516,inf,215.09514413417844,PHOT,0.133078,14448978.480411712,0.024957,0.9999124892286473,6,,,19.747303,8.423642758094862e-05,3.0,3.0,3.0,8.751077135264843e-05,1.8672964572906494,1807443600000.0,,0.282757,8605.273,0.104627,6826.932,0.414702,49968.754,0.0,SER,0.133078,0.130662,0.024957,-99.0
2025iql,210.01746061860285,55.88042753214491,False,,,,,,,,,,,,0.9999951639021598,decals,dr9,766382830000.0,57.51532,18.100542,,,,,"{'nobs_g': 3, 'flux_r': 56.574482, 'type': 'SER', 'dec_ivar': 766382830000.0, 'shape_e1': 0.428805, 'fitbits': 0, 'nobs_z': 3, 'shape_e1_ivar': 257360.72, 'dered_mag_r': 18.100542, 'z_phot_std': 0.024153, 'flux_ivar_r': 24.484873, 'nobs_r': 3, 'z_phot_mean': 0.124214, 'dered_flux_r': 57.51532, 'z_spec': -99.0, 'ra_ivar': 2474578800000.0, 'z_phot_median': 0.127406, 'shape_r_ivar': 43180.4, 'shape_e2_ivar': 159891.42, 'mag_r': 18.118448, 'shape_e2': 0.056873, 'shape_r': 1.918438}",,,0.0,24.484873,56.574482,True,r,-17.969848223616037,0.12690324929470864,1.26636085,55.84975857137824,,9907738893419068,,284.14769649247336,0.0,0.06504085365258494,210.1470672890096,PHOT,0.740663,1.450863229103286e-09,0.156725,0.0,r,-20.72018005274329,0.8237792179252934,0.9050271000000001,206777.28138902504,55.880397260633394,9907738946504012,9907738946504012,,0.1737579138794485,13839.898768232637,0.07449897046577815,inf,210.0174085331664,PHOT,0.124214,1162946.3333919935,0.024153,0.9999951639021598,7,,,18.118448,4.820662806038947e-06,3.0,3.0,3.0,4.836097840075558e-06,1.513664960861206,2474578800000.0,,0.428805,257360.72,0.056873,159891.42,1.918438,43180.4,0.0,SER,0.124214,0.127406,0.024153,-99.0
