name,ra,dec,nuclear,any_posterior,best_cat,best_cat_release,extra_cat_cols,high_host_confidence,host_2_total_posterior,host_absmag_mean,host_any_non_ratio,host_name,host_objID,host_offset_mean,host_prob_ratio,host_redshift_mean,host_total_posterior,idx,missedcat_posterior,none_posterior,query_time,smallcone_posterior,2MASS,Bmag,Dist,GWGC,HyperLEDA,M*,PAHyp,PGC,SDSS-DR16Q,Type,WISExSCOS,dec_ivar,dered_flux_r,dered_mag_r,e_Bmag,e_M*,e_logd25Hyp,e_logr25Hyp,f_M*,f_dL,fitbits,flux_ivar_r,flux_r,host_2_absmag_info,host_2_absmag_mean,host_2_absmag_std,host_2_dec,host_2_name,host_2_objID,host_2_offset_info,host_2_offset_mean,host_2_offset_posterior,host_2_offset_std,host_2_ra,host_2_redshift_info,host_2_redshift_mean,host_2_redshift_std,host_absmag_info,host_absmag_std,host_dec,host_offset_info,host_offset_posterior,host_offset_std,host_ra,host_redshift_info,host_redshift_std,logd25Hyp,logr25Hyp,mag_r,nobs_g,nobs_r,nobs_z,ra_ivar,redshift,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,shape_r,shape_r_ivar,type,z_phot_mean,z_phot_median,z_phot_std,z_spec
14IYSEgvj,4.345166985655137,-26.559142580187302,False,,,,{},False,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15CYSEbjz,248.316513476563,34.489457251542945,True,0.9999999999999896,decals,dr9,"{'shape_r_ivar': 836.6759, 'dec_ivar': 20062396000.0, 'shape_e2': -0.15663, 'ra_ivar': 19368890000.0, 'flux_r': 1.635721, 'nobs_g': 3, 'shape_e2_ivar': 67.50996, 'flux_ivar_r': 187.72385, 'dered_mag_r': 21.910635, 'nobs_z': 4, 'shape_r': 0.293627, 'z_phot_std': 0.284253, 'shape_e1_ivar': 49.044373, 'nobs_r': 4, 'z_phot_median': 0.621683, 'z_spec': -99.0, 'shape_e1': 0.107362, 'fitbits': 0, 'type': 'DEV', 'z_phot_mean': 0.633359, 'mag_r': 21.965727, 'dered_flux_r': 1.720861}",True,0.0,-20.971161869952056,95937730567616.97,9907733258046899,9907733258046899,0.11849909900245288,inf,0.633359,0.9804444961005678,0,3.474475905998176e-15,1.0423427717994527e-14,1.8050601482391357,3.474475905998176e-15,,,,,,,,,,,,20062396000.0,1.720861,21.910635,,,,,,,0.0,187.72385,1.635721,r,-23.421443541657375,0.8217430000000001,34.42985459017187,,9907733258046555,,228.17468772287106,0.0,0.09909329910593241,248.2903651364528,PHOT,0.19191,0.079961,r,1.09553175,34.48946525824006,,0.9804444961005678,0.0654086627687265,248.3165094138133,PHOT,0.284253,,,21.965727,3.0,4.0,4.0,19368890000.0,,0.107362,49.044373,-0.15663,67.50996,0.293627,836.6759,DEV,0.633359,0.621683,0.284253,-99.0
15CYSEbop,207.99251253179068,46.5126450831446,False,0.9999999999999867,decals,dr9,"{'shape_r_ivar': 506.93954, 'dec_ivar': 2831185700.0, 'shape_e2': 0.0, 'ra_ivar': 2852942300.0, 'flux_r': 0.633999, 'nobs_g': 4, 'shape_e2_ivar': 0.0, 'flux_ivar_r': 187.2734, 'dered_mag_r': 22.951742, 'nobs_z': 3, 'shape_r': 0.48043, 'z_phot_std': 0.414603, 'shape_e1_ivar': 0.0, 'nobs_r': 5, 'z_phot_median': 0.607696, 'z_spec': -99.0, 'shape_e1': 0.0, 'fitbits': 0, 'type': 'REX', 'z_phot_mean': 0.628964, 'mag_r': 22.994778, 'dered_flux_r': 0.659634}",True,0.0,-19.911652995082147,74747184882402.77,9907736696456282,9907736696456282,0.2968740202676524,inf,0.628964,0.9999999999999867,1,4.459476752974056e-15,1.3378430258922167e-14,1.2559547424316406,4.459476752974056e-15,,,,,,,,,,,,2831185700.0,0.659634,22.951742,,,,,,,0.0,187.2734,0.633999,r,-20.032898565911506,1.1567076500000002,46.46730449448289,,9907736696457093,,260.72380728204695,0.0,0.08260709535856679,208.0745403232277,PHOT,0.705331,0.3526655,r,1.1475871,46.5126809667594,,0.9999999999999867,0.07340576964597784,207.99261030168887,PHOT,0.314482,,,22.994778,4.0,5.0,3.0,2852942300.0,,0.0,0.0,0.0,0.0,0.48043,506.93954,REX,0.628964,0.607696,0.414603,-99.0
15CYSEbnd,252.56745577563893,23.59000557464909,False,0.9999999999999352,glade,latest,"{'redshift': 0.0366660428096171, 'GWGC': nan, 'f_dL': 3.0, 'PAHyp': 27.7, 'logr25Hyp': 0.3, 'M*': '  16.00000', 'Bmag': 14.2, 'SDSS-DR16Q': nan, 'HyperLEDA': 'NGC6233                      ', 'e_Bmag': 0.71, 'e_logd25Hyp': 0.04, '2MASS': '16501572+2334474', 'e_logr25Hyp': 0.04, 'Dist': 161.436, 'f_M*': 0.0, 'WISExSCOS': 'J165015.70+233447.3', 'Type': 'G', 'logd25Hyp': 1.16, 'e_M*': ' 2.000e+00', 'PGC': '       '}",True,0.0,-21.840001929022957,15416106937573.46,NGC6233,874.0,37.08596567669074,inf,0.0366660428096171,0.9999999999999345,2,2.1622406660976322e-14,6.486721998292898e-14,0.015061140060424805,2.1622406660976322e-14,16501572+2334474,14.2,161.436,,NGC6233                      ,  16.00000,27.7,       ,,G,J165015.70+233447.3,,,,0.71, 2.000e+00,0.04,0.04,0.0,3.0,,,,B,-17.999996119402045,0.899,23.59755,1690175,2573300.0,,234.02313539400197,0.0,0.09406630568217614,252.497,PHOT,0.0356922299131124,0.0107076689739337,B,0.71,23.579855,,0.9999999999999345,0.10021262795127435,252.565536,SPEC,0.0109998128428851,1.16,0.3,,,,,,0.0366660428096171,,,,,,,,,,,
15CYSEbkb,245.8898209352489,35.238877283560754,False,0.9999999999999903,decals,dr9,"{'shape_r_ivar': 26484.373, 'dec_ivar': 417292200000.0, 'shape_e2': 0.0, 'ra_ivar': 377697440000.0, 'flux_r': 4.732211, 'nobs_g': 3, 'shape_e2_ivar': 0.0, 'flux_ivar_r': 92.50722, 'dered_mag_r': 20.77763, 'nobs_z': 3, 'shape_r': 0.267694, 'z_phot_std': 0.119577, 'shape_e1_ivar': 0.0, 'nobs_r': 2, 'z_phot_median': 0.551881, 'z_spec': -99.0, 'shape_e1': 0.0, 'fitbits': 0, 'type': 'REX', 'z_phot_mean': 0.528816, 'mag_r': 20.81234, 'dered_flux_r': 4.885943}",True,0.0,-21.629808814854872,102995086534489.47,9907733490175001,9907733490175001,0.11513905727476473,inf,0.528816,0.9998915606905193,5,3.2364003424737004e-15,9.7092010274211e-15,1.6965079307556152,3.2364003424737004e-15,,,,,,,,,,,,417292200000.0,4.885943,20.77763,,,,,,,0.0,92.50722,4.732211,r,-20.61729694015231,1.1306793000000002,35.31870540280039,,9907733490175348,,293.59990437209666,0.0,0.10008080343780265,245.9102748751276,PHOT,0.722471,0.07827,r,1.0388815,35.23887795876025,,0.9998915606905193,0.06134721230694603,245.88982762092428,PHOT,0.119577,,,20.81234,3.0,2.0,3.0,377697440000.0,,0.0,0.0,0.0,0.0,0.267694,26484.373,REX,0.528816,0.551881,0.119577,-99.0
15CYSEazc,216.63283303052526,27.47840176037728,False,0.9999999999997675,decals,dr9,"{'shape_r_ivar': 2846.7937, 'dec_ivar': 73939480000.0, 'shape_e2': -0.008707, 'ra_ivar': 84532175000.0, 'flux_r': 3.232734, 'nobs_g': 2, 'shape_e2_ivar': 844.6639, 'flux_ivar_r': 127.34373, 'dered_mag_r': 21.186808, 'nobs_z': 5, 'shape_r': 0.578537, 'z_phot_std': 0.02814, 'shape_e1_ivar': 1684.7671, 'nobs_r': 2, 'z_phot_median': 0.516333, 'z_spec': -99.0, 'shape_e1': 0.055638, 'fitbits': 0, 'type': 'DEV', 'z_phot_mean': 0.51774, 'mag_r': 21.226074, 'dered_flux_r': 3.351789}",True,0.0,-21.165316597001265,4301735658585.257,9906631472055754,9906631472055754,1.7357464360023809,inf,0.51774,0.9863043160514764,7,7.748810242860938e-14,2.3246430728582815e-13,1.726747989654541,7.748810242860938e-14,,,,,,,,,,,,73939480000.0,3.351789,21.186808,,,,,,,0.0,127.34373,3.232734,r,-20.599923886616423,1.1570158,27.54469307971916,,9906631472056825,,296.1385812296007,0.0,0.09762555210481753,216.6877475356017,PHOT,0.874361,0.167351,r,1.0593404,27.47884818909384,,0.9863043160514764,0.09693374774631247,216.632633666078,PHOT,0.02814,,,21.226074,2.0,2.0,5.0,84532175000.0,,0.055638,1684.7671,-0.008707,844.6639,0.578537,2846.7937,DEV,0.51774,0.516333,0.02814,-99.0
15CYSEbhv,205.52215430948232,28.695626782492585,False,0.9999999999999939,decals,dr9,"{'shape_r_ivar': 29581.781, 'dec_ivar': 742728700000.0, 'shape_e2': 0.229966, 'ra_ivar': 763095000000.0, 'flux_r': 12.536789, 'nobs_g': 4, 'shape_e2_ivar': 27575.494, 'flux_ivar_r': 171.99377, 'dered_mag_r': 19.729074, 'nobs_z': 5, 'shape_r': 0.878267, 'z_phot_std': 0.041022, 'shape_e1_ivar': 15793.465, 'nobs_r': 4, 'z_phot_median': 0.236192, 'z_spec': -99.0, 'shape_e1': -0.078087, 'fitbits': 0, 'type': 'SER', 'z_phot_mean': 0.238774, 'mag_r': 19.754534, 'dered_flux_r': 12.834242}",True,0.0,-20.65990149417075,162934148850285.28,9906631886180181,9906631886180181,0.11755227502825832,inf,0.238774,0.9998779950398204,9,2.0458162741539227e-15,6.137448822461768e-15,1.7680902481079102,2.0458162741539227e-15,,,,,,,,,,,,742728700000.0,12.834242,19.729074,,,,,,,0.0,171.99377,12.536789,r,-20.025845598023334,1.2047116500000001,28.75644301660688,,9906631886181312,,285.7059349890929,0.0,0.0960149113222792,205.580300915438,PHOT,1.007418,0.269872,r,0.9864537000000001,28.69562556859852,,0.9998779950398204,0.06123055532776458,205.52215251837316,PHOT,0.041022,,,19.754534,4.0,4.0,5.0,763095000000.0,,-0.078087,15793.465,0.229966,27575.494,0.878267,29581.781,SER,0.238774,0.236192,0.041022,-99.0
15CYSEbhp,140.54817967969686,35.831093669492454,True,0.999999999999993,decals,dr9,"{'shape_r_ivar': 61130.55, 'dec_ivar': 124920955000.0, 'shape_e2': 0.0, 'ra_ivar': 43019060000.0, 'flux_r': 18.507275, 'nobs_g': 3, 'shape_e2_ivar': 0.0, 'flux_ivar_r': 77.8276, 'dered_mag_r': 19.301828, 'nobs_z': 4, 'shape_r': 0.806621, 'z_phot_std': 0.091493, 'shape_e1_ivar': 0.0, 'nobs_r': 4, 'z_phot_median': 0.411784, 'z_spec': -99, 'shape_e1': 0.0, 'fitbits': 128, 'type': 'REX', 'z_phot_mean': 0.396077, 'mag_r': 19.331644, 'dered_flux_r': 19.022552}",True,0.0,-22.3573839925685,143354659053710.62,9907733621704777,9907733621704777,0.18411151637409182,inf,0.396077,0.9998237995713259,10,2.3252354372970966e-15,6.97570631189129e-15,1.266183853149414,2.3252354372970966e-15,,,,,,,,,,,,124920955000.0,19.022552,19.301828,,,,,,,128.0,77.8276,18.507275,r,-21.889891640344597,0.89253825,35.90998375309371,,9907733698445592,,292.1125683117,0.0,0.10117752493134557,140.57160826906505,PHOT,0.18293,0.091465,r,0.9650914,35.83105742796983,,0.9998237995713259,0.08465322775245658,140.54815111917634,PHOT,0.091493,,,19.331644,3.0,4.0,4.0,43019060000.0,,0.0,0.0,0.0,0.0,0.806621,61130.55,REX,0.396077,0.411784,0.091493,-99.0
15CYSEbls,243.56629915106993,34.55498981558084,True,0.9999999999999909,decals,dr9,"{'shape_r_ivar': 16022.522, 'dec_ivar': 266701400000.0, 'shape_e2': 0.293258, 'ra_ivar': 164214390000.0, 'flux_r': 10.329071, 'nobs_g': 3, 'shape_e2_ivar': 3621.2446, 'flux_ivar_r': 94.059616, 'dered_mag_r': 19.927074, 'nobs_z': 4, 'shape_r': 0.498634, 'z_phot_std': 0.1028, 'shape_e1_ivar': 3771.7056, 'nobs_r': 3, 'z_phot_median': 0.349286, 'z_spec': -99.0, 'shape_e1': -0.286009, 'fitbits': 136, 'type': 'SER', 'z_phot_mean': 0.355689, 'mag_r': 19.964848, 'dered_flux_r': 10.694748}",True,0.0,-21.457843329378935,110239481201583.38,9907733257061062,9907733257061062,0.11594531708678506,inf,0.355689,0.9993692005441617,11,3.023720083767435e-15,9.071160251302306e-15,1.6379199028015137,3.023720083767435e-15,,,,,,,,,,,,266701400000.0,10.694748,19.927074,,,,,,,136.0,94.059616,10.329071,r,-19.52746859581158,1.14441155,34.62598703246469,,9907733334854076,,298.7980560511734,0.0,0.09382524091216336,243.61852482774867,PHOT,0.530489,0.164233,r,0.9963537000000001,34.55498483632581,,0.9993692005441617,0.06125942404326297,243.56629278939556,PHOT,0.1028,,,19.964848,3.0,3.0,4.0,164214390000.0,,-0.286009,3771.7056,0.293258,3621.2446,0.498634,16022.522,SER,0.355689,0.349286,0.1028,-99.0
15AYSEahs,201.24178019887995,46.9859938069397,False,0.9999999999999898,decals,dr9,"{'shape_r_ivar': 47286.36, 'dec_ivar': 585742400000.0, 'shape_e2': 0.0, 'ra_ivar': 560054000000.0, 'flux_r': 18.250854, 'nobs_g': 3, 'shape_e2_ivar': 0.0, 'flux_ivar_r': 52.667286, 'dered_mag_r': 19.283564, 'nobs_z': 3, 'shape_r': 0.761802, 'z_phot_std': 0.080191, 'shape_e1_ivar': 0.0, 'nobs_r': 3, 'z_phot_median': 0.108257, 'z_spec': -99.0, 'shape_e1': 0.0, 'fitbits': 2, 'type': 'REX', 'z_phot_mean': 0.117814, 'mag_r': 19.346792, 'dered_flux_r': 19.34527}",True,0.0,-19.41324195121163,97677437059246.36,9907736824971980,9907736824971980,0.32904789130939155,inf,0.117814,0.9999999999999897,12,3.4125929525684246e-15,1.0237778857705271e-14,1.3429203033447266,3.4125929525684246e-15,,,,,,,,,,,,585742400000.0,19.34527,19.283564,,,,,,,2.0,52.667286,18.250854,r,-20.725496701618315,1.1600460000000001,46.94863598736788,,9907736824909009,,296.8962380681495,0.0,0.07591641083674389,201.13403873385872,PHOT,0.937271,0.167735,r,0.9641782,46.98608078233371,,0.9999999999999897,0.0961219375591998,201.24181056597928,PHOT,0.058907,,,19.346792,3.0,3.0,3.0,560054000000.0,,0.0,0.0,0.0,0.0,0.761802,47286.36,REX,0.117814,0.108257,0.080191,-99.0
