name,ra,dec,nuclear,2MASS,Bmag,Dist,GWGC,HyperLEDA,M*,PAHyp,PGC,SDSS-DR16Q,Type,WISExSCOS,any_posterior,best_cat,best_cat_release,dec_ivar,dered_flux_r,dered_mag_r,e_Bmag,e_M*,e_logd25Hyp,e_logr25Hyp,extra_cat_cols,f_M*,f_dL,fitbits,flux_ivar_r,flux_r,high_host_confidence,host_2_absmag_info,host_2_absmag_mean,host_2_absmag_posterior,host_2_absmag_std,host_2_dec,host_2_name,host_2_objID,host_2_offset_info,host_2_offset_mean,host_2_offset_posterior,host_2_offset_std,host_2_ra,host_2_redshift_info,host_2_redshift_mean,host_2_redshift_posterior,host_2_redshift_std,host_2_total_posterior,host_absmag_info,host_absmag_mean,host_absmag_posterior,host_absmag_std,host_any_non_ratio,host_dec,host_name,host_objID,host_offset_info,host_offset_mean,host_offset_posterior,host_offset_std,host_prob_ratio,host_ra,host_redshift_info,host_redshift_mean,host_redshift_posterior,host_redshift_std,host_total_posterior,idx,logd25Hyp,logr25Hyp,mag_r,missedcat_posterior,nobs_g,nobs_r,nobs_z,none_posterior,query_time,ra_ivar,redshift,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,shape_r,shape_r_ivar,smallcone_posterior,type,z_phot_mean,z_phot_median,z_phot_std,z_spec
ANT2025u83jecw2w90c,245.8094659456344,40.92221711695454,False,,,,,,,,,,,,0.9987614300651704,decals,dr9,,,,,,,,"{'flux_ivar_r': 45.537746, 'shape_r': 1.602484, 'dered_mag_r': 20.877169, 'ra_ivar': 25380096000.0, 'shape_r_ivar': 775.26337, 'shape_e1_ivar': 3026.18, 'type': 'EXP', 'dec_ivar': 11028168000.0, 'flux_r': 4.40287, 'shape_e2_ivar': 1471.9058, 'dered_flux_r': 4.457926, 'shape_e1': 0.338249, 'fitbits': 0, 'z_phot_std': 0.076459, 'z_spec': -99.0, 'nobs_r': 3, 'nobs_g': 3, 'shape_e2': -0.011395, 'mag_r': 20.890661, 'nobs_z': 3, 'z_phot_mean': 0.052304, 'z_phot_median': 0.032994}",,,,,,True,,,,,,,,,,,,,,,,,0.0,,-15.958843597512937,,,806.3827499596254,,9907735200400504.0,9907735200400504.0,,0.8773342571000824,,,inf,,,0.052304,,,0.9987614300651704,0.0,,,,0.0011288127393005,,,,0.0012385699348295,1.4456899166107178,,,,,,,,,0.0,,,,,
ANT2025dgqka5mbuqj3,252.62285136198244,45.25251275301329,False,,,,,,,,,,,,0.9999999999999865,decals,dr9,,,,,,,,"{'flux_ivar_r': 118.5745, 'shape_r': 0.427423, 'dered_mag_r': 22.544434, 'ra_ivar': 4355472000.0, 'shape_r_ivar': 287.09024, 'shape_e1_ivar': 0.0, 'type': 'REX', 'dec_ivar': 4359507000.0, 'flux_r': 0.930349, 'shape_e2_ivar': 0.0, 'dered_flux_r': 0.959902, 'shape_e1': 0.0, 'fitbits': 0, 'z_phot_std': 0.404174, 'z_spec': -99.0, 'nobs_r': 3, 'nobs_g': 3, 'shape_e2': 0.0, 'mag_r': 22.578386, 'nobs_z': 3, 'z_phot_mean': 0.491739, 'z_phot_median': 0.383786}",,,,,,True,,,,,,,,,,,,,,,,,0.0,,-19.67337277018046,,,73070199691646.06,,9907736375199246.0,9907736375199246.0,,0.2714534420313516,,,inf,,,0.491739,,,0.9999999999999865,2.0,,,,4.5618232157566965e-15,,,,1.3685469647270091e-14,1.4225010871887207,,,,,,,,,4.5618232157566965e-15,,,,,
ANT2025duq2hd12ajhp,262.77428666409105,40.98877545643175,False,,,,,,,,,,,,0.9999999999999748,decals,dr9,,,,,,,,"{'flux_ivar_r': 26.202662, 'shape_r': 2.011258, 'dered_mag_r': 20.165977, 'ra_ivar': 12421417000.0, 'shape_r_ivar': 1235.4331, 'shape_e1_ivar': 0.0, 'type': 'REX', 'dec_ivar': 12854902000.0, 'flux_r': 7.993506, 'shape_e2_ivar': 0.0, 'dered_flux_r': 8.582403, 'shape_e1': 0.0, 'fitbits': 0, 'z_phot_std': 0.060403, 'z_spec': -99, 'nobs_r': 3, 'nobs_g': 3, 'shape_e2': 0.0, 'mag_r': 20.243156, 'nobs_z': 3, 'z_phot_mean': 0.132066, 'z_phot_median': 0.129009}",,,,,,True,,,,,,,,,,,,,,,,,0.0,,-18.798837993651293,,,39929190560545.58,,9907735203745284.0,9907735203745284.0,,2.2141867256967056,,,inf,,,0.132066,,,0.995435716867392,7.0,,,,8.348111460658932e-15,,,,2.5044334381976802e-14,1.737778902053833,,,,,,,,,8.348111460658932e-15,,,,,
ANT20240zuei5r84km5,248.8633011235659,24.060311268008263,True,,,,,,,,,,,,0.9999999999999856,decals,dr9,,,,,,,,"{'flux_ivar_r': 615.241, 'shape_r': 0.0, 'dered_mag_r': 21.122076, 'ra_ivar': 406891700000.0, 'shape_r_ivar': 0.0, 'shape_e1_ivar': 0.0, 'type': 'PSF', 'dec_ivar': 363227680000.0, 'flux_r': 3.244098, 'shape_e2_ivar': 0.0, 'dered_flux_r': 3.5577, 'shape_e1': 0.0, 'fitbits': 0, 'z_phot_std': 0.166453, 'z_spec': -99.0, 'nobs_r': 4, 'nobs_g': 4, 'shape_e2': 0.0, 'mag_r': 21.222265, 'nobs_z': 5, 'z_phot_mean': 0.905424, 'z_phot_median': 0.909104}",,,,,,True,,,,,,,,,,,,,,,,,0.0,,-22.71167242906933,,,68577032653886.72,,9906630288015992.0,9906630288015992.0,,0.1711353123171203,,,inf,,,0.905424,,,0.9986181486752944,9.0,,,,4.8607138634254724e-15,,,,1.4582141590276414e-14,1.7054760456085205,,,,,,,,,4.8607138634254724e-15,,,,,
ANT202296420bn5wxa8,273.66411309388366,80.70062971378559,False,,,,,,,,,,,,0.9999999999991976,decals,dr9,1.3503982e+16,700.92395,15.385822,,,,,"{'fitbits': 4290, 'type': 'PSF', 'shape_r': 0.0, 'z_spec': -99, 'shape_r_ivar': 0.0, 'shape_e1_ivar': 0.0, 'z_phot_median': 0.022631, 'z_phot_std': 0.018805, 'ra_ivar': 2.16918e+16, 'dec_ivar': 1.3503982e+16, 'z_phot_mean': 0.025799, 'dered_flux_r': 700.92395, 'shape_e2_ivar': 0.0, 'nobs_g': 2, 'nobs_r': 3, 'shape_e1': 0.0, 'flux_ivar_r': 0.025474, 'shape_e2': 0.0, 'nobs_z': 5, 'flux_r': 616.1705, 'dered_mag_r': 15.385822, 'mag_r': 15.525748}",,,4290.0,0.025474,616.1705,True,r,-20.09796723783224,,1.1046942,80.73697373909135,,9907742387143064.0,,294.7086598964432,0.0,0.045999616554362,273.2092891296895,PHOT,0.486857,,0.115446,0.0,r,-19.873406680968635,,0.7692911,1246130094773.876,80.70092515932294,9907742387144340.0,9907742387144340.0,,1.0656330528340423,0.9657996601385292,0.09824436485251,inf,273.66398657024416,PHOT,0.025799,,0.0128995,0.9657996601385292,4.0,,,15.525748,2.674948103179811e-13,2.0,3.0,5.0,8.024844309539434e-13,1.5487611293792725,2.16918e+16,,0.0,0.0,0.0,0.0,0.0,0.0,2.674948103179811e-13,PSF,0.025799,0.022631,0.018805,-99.0
ANT2024y4xje3l5lmbl,270.1411911501407,10.629487849515089,False,,,,,,,,,,,,,,,,,,,,,,{},,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,
ANT2025oejgk5a750kb,273.0775390839443,-12.848294449453263,False,,,,,,,,,,,,,,,,,,,,,,{},,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,
ANT202416t49hns1k7k,285.0784433,-13.99313334857925,False,,,,,,,,,,,,,,,,,,,,,,{},,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
ANT20252oa2azuwpbk2,282.558350364034,-14.201181915243438,False,,,,,,,,,,,,,,,,,,,,,,{},,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
ANT2023ytcc20sjj8c6,258.3650985926042,-18.08235820798073,False,,,,,,,,,,,,,,,,,,,,,,{},,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
