name,peak_phase,peak_mag,yse_pz,yse_field,ra,dec,tns_name,tns_redshift,tns_class,host_redshift,host_prob,host_sep_arcsec,best_host_catalog,host_absmag,best_redshift,host_name,high_host_confidence,peak_abs_mag
14IYSEgvj,212.22455725132022,18.963,<https://ziggy.ucolick.org/yse/transient_detail/14IYSEgvj|*YSE-PZ*>,,4.345166985655137,-26.559142580187302,,,---,,,,,,,,False,
15CYSEbjz,52.03155725132092,19.62,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbjz|*YSE-PZ*>,674.D,248.316513476563,34.489457251542945,,,---,0.633359,0.9804444961005678,0.11849909900245288,decals,-20.971161869952056,0.633359,9907733258046899,True,-22.792104172180835
15CYSEbop,22.1245572513144,19.089,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbop|*YSE-PZ*>,749.E,207.99251253179068,46.5126450831446,,,---,0.628964,0.9999999999999867,0.2968740202676524,decals,-19.911652995082147,0.628964,9907736696456282,True,-23.307674146415806
15CYSEbnd,38.08655725132121,19.651,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbnd|*YSE-PZ*>,618.A,252.56745577563893,23.59000557464909,,,---,0.0366660428096171,0.9999999999999345,37.08596567669074,glade,-21.840001929022957,0.0366660428096171,NGC6233,True,-16.420631126137067
15CYSEbkb,28.11255725131923,19.706,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbkb|*YSE-PZ*>,674.D,245.8898209352489,35.238877283560754,,,---,0.528816,0.9998915606905193,0.11513905727476473,decals,-21.629808814854872,0.528816,9907733490175001,True,-22.304712382495293
15CYSEazc,94.04955725131731,20.78,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEazc|*YSE-PZ*>,719.A,216.63283303052526,27.47840176037728,,,---,0.51774,0.9863043160514764,1.7357464360023809,decals,-21.165316597001265,0.51774,9906631472055754,True,-21.183420211594168
15CYSEbhv,13.175557251321152,18.874,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbhv|*YSE-PZ*>,527.F,205.52215430948232,28.695626782492585,,,---,0.238774,0.9998779950398204,0.11755227502825832,decals,-20.65990149417075,0.238774,9906631886180181,True,-21.35033244053898
15CYSEbhp,38.17455725131731,20.207,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbhp|*YSE-PZ*>,674.D,140.54817967969686,35.831093669492454,,,---,0.396077,0.9998237995713259,0.18411151637409182,decals,-22.3573839925685,0.396077,9907733621704777,True,-21.15569740273794
15CYSEbls,29.09655725131597,19.374,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbls|*YSE-PZ*>,674.D,243.56629915106993,34.55498981558084,,,---,0.355689,0.9993692005441617,0.11594531708678506,decals,-21.457843329378935,0.355689,9907733257061062,True,-21.746791450478273
15AYSEahs,2140.3725572513213,15.477,<https://ziggy.ucolick.org/yse/transient_detail/15AYSEahs|*YSE-PZ*>,527.C,201.24178019887995,46.9859938069397,,,---,0.117814,0.9999999999999897,0.32904789130939155,decals,-19.41324195121163,0.117814,9907736824971980,True,-23.168427865465443
