name,superphot_plus_prob,peak_mag,yse_pz,yse_field,ra,dec,tns_name,tns_redshift,tns_class,host_redshift,host_prob,host_sep_arcsec,best_host_catalog,host_absmag,best_redshift,host_name,high_host_confidence,peak_abs_mag,peak_phase,superphot_plus_class,superphot_plus_classifier,superphot_plus_sampler,superphot_non_Ia_prob,superphot_plus_class_without_redshift,superphot_plus_prob_without_redshift,posted_before
2025kdz,1.0,18.64949681603469,<https://ziggy.ucolick.org/yse/transient_detail/2025kdz|*YSE-PZ*>,365.E,323.6538919,-10.4092389,2025kdz,0.233,SLSN-II,0.276901,0.9997344600695874,0.2503109269728745,decals,-20.810744143434423,0.233,9906617556931258.0,True,-21.519854384303567,13.078430537811071,SLSN-I,early_lightgbm_02_2025,svi,1.0,SN IIn,0.617,False
2025lgc,0.985,17.973501706409557,<https://ziggy.ucolick.org/yse/transient_detail/2025lgc|*YSE-PZ*>,,340.6035145,-23.2902796,2025lgc,,,,,,,,,,False,,25.29119353781425,SLSN-I,full_lightgbm_02_2025,svi,0.994,,,False
2025lxw,0.911,18.71381985329817,<https://ziggy.ucolick.org/yse/transient_detail/2025lxw|*YSE-PZ*>,674.C,172.1613303,27.4019302,2025lxw,0.0319,SN IIb,0.0324790884171751,0.8689742460565757,18.06678676605908,glade,-20.72000366022584,0.0319,35324.0,False,-17.052890737803775,18.334217537812947,SN Ibc,full_lightgbm_02_2025,svi,0.997,SN Ibc,0.771,False
2025ndb,0.873,18.49451913630396,<https://ziggy.ucolick.org/yse/transient_detail/2025ndb|*YSE-PZ*>,423.E,198.181512,33.910172,2025ndb,0.078,SN Ia,0.05754,0.9992969394345216,1.7300349308380154,decals,-18.96205302015852,0.078,9907733090797016.0,True,-19.23719357258576,15.303436537811647,SN IIn,early_lightgbm_02_2025,dynesty,0.922,SLSN-I,0.835,False
2025kpt,0.623,18.283628558420897,<https://ziggy.ucolick.org/yse/transient_detail/2025kpt|*YSE-PZ*>,477.C,213.306271497,26.1734138329,2025kpt,0.03054,SN II,0.0310499338822333,0.9147314144219127,0.9293929214397292,glade,-19.15999252919818,0.03054,50781.0,False,-17.387739570351506,13.247105537811876,SN IIn,full_lightgbm_02_2025,svi,1.0,SLSN-I,0.53,False
2025izt,0.504,18.52863973655052,<https://ziggy.ucolick.org/yse/transient_detail/2025izt|*YSE-PZ*>,,339.3263485,-23.7833702,2025izt,,,,,,,,,,False,,50.288151537810336,SN IIn,full_lightgbm_02_2025,svi,1.0,,,False
2025jtq,1.0,16.20497886290474,<https://ziggy.ucolick.org/yse/transient_detail/2025jtq|*YSE-PZ*>,,14.382747,-17.36295,2025jtq,0.03,SN II,0.02494,0.999987858933391,0.4329221659561768,decals,-20.35505396612365,0.03,9906615003185858,True,-19.4273581714804,56.10846242029948,SN IIn,full_lightgbm_02_2025,svi,1.0,SN II,0.496,False
2025pcw,0.998,17.563802229361816,<https://ziggy.ucolick.org/yse/transient_detail/2025pcw|*YSE-PZ*>,365.F,23.7755,-6.904389,2025pcw,,,0.96666,0.9999999999986648,2.700539454530323,decals,-20.016543564719225,0.96666,9906618786123762,True,-25.77105833531117,27.120003420299327,SLSN-I,full_lightgbm_02_2025,svi,1.0,SN Ia,0.587,False
2025kjo,0.679,17.238298998382987,<https://ziggy.ucolick.org/yse/transient_detail/2025kjo|*YSE-PZ*>,365.E,1.304762,-11.5066317,2025kjo,0.022,SN Ia,0.0217344304090103,0.9618821678276596,14.611575992122637,glade,-20.64035072078641,0.022,IC1529,False,-17.716170668667612,53.12686442030099,SN Ibc,full_lightgbm_02_2025,svi,0.977,SN IIn,0.37,False
2025nma,0.969,18.36193516754164,<https://ziggy.ucolick.org/yse/transient_detail/2025nma|*YSE-PZ*>,423.E,343.837724,-4.6147742,2025nma,,,0.456146,0.995913814431522,1.2584665217965283,decals,-20.831436195728426,0.456146,9908818832591284,True,-23.317870016998327,20.14570931945491,SLSN-I,full_lightgbm_02_2025,svi,0.996,SN Ia,0.529,False
2025iyl,1.0,17.205379772380894,<https://ziggy.ucolick.org/yse/transient_detail/2025iyl|*YSE-PZ*>,423.E,171.049099269,-4.53944366248,2025iyl,,,0.291219,0.9999999999999846,0.5217112700430128,decals,-19.087816045397265,0.291219,9906619764180349,True,-23.46538526567369,171.00694540408583,SLSN-I,full_lightgbm_02_2025,dynesty,1.0,SN IIn,0.963,False
2025qur,1.0,18.437831695288924,<https://ziggy.ucolick.org/yse/transient_detail/2025qur|*YSE-PZ*>,719.D,220.1140975,20.85726,2025qur,,,0.095003,0.9999999999999828,0.3727512797394833,decals,-17.258648963430435,0.095003,9906629145265121,True,-19.730094663725108,2.1639264040859416,SN IIn,early_lightgbm_02_2025,svi,1.0,SN II,0.55,False
2025qyc,0.914,18.561149510886985,<https://ziggy.ucolick.org/yse/transient_detail/2025qyc|*YSE-PZ*>,674.A,167.277661115,33.1169344621,2025qyc,,,0.154757,0.9999999999999768,0.5000177217222803,decals,-19.65445599188469,0.154757,9907732768621537,True,-20.691845928330736,103.1123954040886,SLSN-I,full_lightgbm_02_2025,svi,1.0,SLSN-I,0.629,False
2025iuh,0.723,18.37182864113219,<https://ziggy.ucolick.org/yse/transient_detail/2025iuh|*YSE-PZ*>,575.A,175.1739845,18.2385516,2025iuh,,,0.187729,0.999999999999984,0.3393033432931618,decals,-20.49799575709312,0.187729,9906628243099018,True,-21.313023307352125,32.25820140408905,SLSN-I,full_lightgbm_02_2025,svi,0.881,SN II,0.776,False
2025ppj,0.535,16.807589630179454,<https://ziggy.ucolick.org/yse/transient_detail/2025ppj|*YSE-PZ*>,527.F,268.4602243,14.0471717,2025ppj,0.063501,SN Ia,,,,,,0.063501,,False,-20.4704553677028,34.25310840408929,SLSN-I,full_lightgbm_02_2025,svi,0.967,SN Ibc,0.377,False
