superphot_plus_A_ZTF_r,superphot_plus_beta_ZTF_r,superphot_plus_gamma_ZTF_r,superphot_plus_t_0_ZTF_r,superphot_plus_tau_rise_ZTF_r,superphot_plus_tau_fall_ZTF_r,superphot_plus_extra_sigma_ZTF_r,superphot_plus_A_ZTF_g,superphot_plus_beta_ZTF_g,superphot_plus_gamma_ZTF_g,superphot_plus_t_0_ZTF_g,superphot_plus_tau_rise_ZTF_g,superphot_plus_tau_fall_ZTF_g,superphot_plus_extra_sigma_ZTF_g,name,superphot_plus_classifier,superphot_plus_class,superphot_plus_prob,superphot_plus_prob_SLSN-I,superphot_plus_prob_SN Ia,superphot_plus_prob_SN Ibc,superphot_plus_prob_SN II,superphot_plus_prob_SN IIn,superphot_plus_classified
0.99032724,0.0047258427,18.846191,-7.298336,2.1248057,25.559465,0.057845104,0.9055302,0.009619815,14.395685,-7.246109,2.4676275,16.010386,0.027814878,170028485814779919,early_lightgbm_02_2025,SN Ibc,0.971,0.0,0.01,0.971,0.01,0.01,True
1.0298493,0.004794472,20.268147,-19.435997,2.4950914,28.263897,0.05621036,1.2491729,0.009791063,14.133717,-19.66337,3.4431565,16.105434,0.04152758,314051320292573245,full_lightgbm_02_2025,SN Ia,0.571,0.353,0.571,0.007,0.056,0.013,True
1.2423375,0.0043428782,33.88238,-31.393793,13.793519,33.639812,0.09276971,1.0105503,0.009441493,13.658569,-31.179903,9.013079,21.45671,0.0435606,313853497671417905,full_lightgbm_02_2025,SN II,0.994,0.0,0.0,0.0,0.994,0.006,True
0.9236541,0.0054465192,15.168453,-18.918123,2.1054807,24.563116,0.060615443,1.1040967,0.010307671,11.51206,-18.939022,2.516364,17.57596,0.030664694,314007345737760850,full_lightgbm_02_2025,SN Ia,0.805,0.046,0.805,0.013,0.005,0.131,True
1.1518078,0.004252605,42.11075,-37.468727,10.224455,50.15714,0.08513126,1.3433661,0.010172807,25.514174,-37.626495,11.070036,40.545624,0.058148693,313831458514927674,full_lightgbm_02_2025,SLSN-I,0.835,0.835,0.0,0.0,0.004,0.161,True
0.98560417,0.0043774126,20.282703,-9.054845,2.186768,25.917496,0.048643872,1.1020038,0.009118775,15.906396,-9.178751,1.8042393,16.345753,0.028923016,170019696438935593,early_lightgbm_02_2025,SN Ia,0.628,0.0,0.628,0.063,0.296,0.013,True
0.9486811,0.0052496493,14.111399,-13.539152,1.5631402,18.837326,0.08929743,0.92127967,0.010277906,11.104606,-13.422213,1.63091,11.517669,0.036051482,314002971135836309,full_lightgbm_02_2025,SN Ibc,0.788,0.0,0.212,0.788,0.0,0.0,True
0.7019285,0.0075694053,14.673814,-4.8522267,4.903666,28.672344,0.059915923,0.93867755,0.012911731,9.221729,-5.2587237,1.5095713,25.306528,0.05332819,313963359527501831,full_lightgbm_02_2025,SLSN-I,0.585,0.585,0.335,0.023,0.0,0.058,True
1.004094,0.005054829,16.746258,-15.378244,1.5931574,30.17411,0.04866126,0.8214761,0.010356533,10.207565,-15.523912,1.7155437,18.89188,0.029233307,314051321101549625,full_lightgbm_02_2025,SN Ibc,0.989,0.0,0.0,0.989,0.011,0.0,True
1.0204005,0.004496934,19.024115,-10.612312,1.4049431,28.685478,0.06471041,0.95673573,0.009562118,11.570951,-10.600655,1.433929,19.032925,0.03293874,313994145147388004,early_lightgbm_02_2025,SN II,0.506,0.004,0.008,0.442,0.506,0.04,True
0.89374876,0.0064255446,25.457531,-22.082895,7.3196597,36.842403,0.068519965,1.3960004,0.010796402,20.472359,-21.908697,9.017004,31.911371,0.05947707,313756671695913113,full_lightgbm_02_2025,SLSN-I,1.0,1.0,0.0,0.0,0.0,0.0,True
1.0078115,0.0049140095,15.4575405,-9.512417,2.0358448,17.60281,0.040510215,1.0668389,0.009822516,12.099512,-8.75918,2.1005096,14.126488,0.03290204,313928194151940140,full_lightgbm_02_2025,SN Ibc,0.606,0.0,0.359,0.606,0.0,0.035,True
0.734169,0.006710686,16.861786,-10.1860285,3.187644,33.57623,0.044223577,1.1011827,0.011665548,10.88623,-10.307619,1.8345602,24.499752,0.036580276,170019696328835126,early_lightgbm_02_2025,SN Ia,0.433,0.37,0.433,0.024,0.173,0.0,True
0.9284098,0.0052412525,26.606728,-22.360817,2.899166,42.253204,0.04069176,1.1454403,0.010108003,18.184036,-22.273655,2.6841464,29.269089,0.035113346,313871013678940198,full_lightgbm_02_2025,SLSN-I,0.876,0.876,0.0,0.0,0.042,0.082,True
