"id","ra [deg]","dec [deg]","redshift","classification","probability","annotation origin","annotation origin key-value pair count","annotation key","annotation value","groups","Saved at","Alias","Origin","TNS"
"313699507039109196","63.55508982070326","-47.88203028272945","","","","","","","","Superphot LSST","2026-02-25T15:07:41","","",""
"170019696299475118","60.15057631608013","-48.41964838414507","","","","","","","","Superphot LSST","2026-02-25T15:07:32","","",""
"313708289017249906","60.940223274992746","-50.0806295120204","","","","","","","","Superphot LSST","2026-02-25T15:07:30","","",""
"313765480582086755","57.815629790695766","-49.44899085868597","","","","","","","","Superphot LSST","2026-02-25T15:07:28","","",""
"313897383967588462","62.7006394963171","-48.56554324021788","","","","","","","","Superphot LSST","2026-02-25T15:07:26","","",""
"170028485844664382","60.039818458993615","-48.118818494142914","","","","","","","","Superphot LSST","2026-02-25T15:07:24","","",""
"314002971135836309","62.13519129922157","-49.178392011425046","","","","","","","","Superphot LSST","2026-02-25T15:07:22","","",""
"313893022950490177","62.14171557424568","-49.31955646340114","","","","","","","","Superphot LSST","2026-02-25T15:07:20","","",""
"313690717384867850","62.37125365047807","-47.753336721933785","","","","","","","","Superphot LSST","2026-02-25T15:07:05","","",""
"170028492511510705","56.83953875171114","-49.29445306846499","","","","","","","","Superphot LSST","2026-02-25T15:07:02","","",""
"313963359364448306","57.59134626071048","-49.905401841613504","","","","","","","","Superphot LSST","2026-02-25T15:06:59","","",""
"313985348069752998","63.00639506488365","-49.30004892970347","","","","","","","","Superphot LSST","2026-02-25T15:06:57","","",""
"314051321267748936","62.43415500880945","-46.81707418535144","","","","","","","","Superphot LSST","2026-02-25T15:06:56","","",""
"170028485814779919","60.84372033865105","-49.20635230472849","","","","","","","","Superphot LSST","2026-02-25T15:06:54","","",""
"170019696440508539","62.81297644480916","-48.379468159047015","","","","","","","","Superphot LSST","2026-02-25T15:06:37","","",""
"313677516558565438","57.450173534819925","-49.47820302099694","","","","","","","","Superphot LSST","2026-02-25T15:06:34","","",""
"313871013683134625","61.38254770767602","-47.52634540664755","","","","","","","","Superphot LSST","2026-02-25T15:06:32","","",""
"170019696442081285","62.67000935525584","-48.37997015189025","","","","","","","","Superphot LSST","2026-02-25T15:06:31","","",""
"170019696328835126","58.793092208094905","-49.039437531390675","","","","","","","","Superphot LSST","2026-02-25T15:06:30","","",""
