name,superphot_plus_prob,peak_mag,yse_pz,yse_field,ra,dec,tns_name,tns_redshift,tns_class,host_redshift,host_prob,host_sep_arcsec,best_host_catalog,host_absmag,best_redshift,host_name,high_host_confidence,peak_abs_mag,peak_phase,superphot_plus_class,superphot_plus_class_without_redshift,superphot_plus_prob_without_redshift,superphot_plus_classifier,superphot_plus_sampler,superphot_non_Ia_prob,posted_before
ANT2026k6jocz0otqxw,1.0,22.198477888067046,<https://ziggy.ucolick.org/yse/transient_detail/2025alto|*YSE-PZ*>,477.C,150.2351959414891,3.225698970786709,---,,---,0.486463,0.9806914409561192,0.26990069922438986,decals,-19.252342957036365,0.486463,9906622683415236,True,-19.62553754964936,47.495446188157075,SN Ibc,SN Ibc,1.0,full_lightgbm_02_2025,svi,1.0,False
ANT202671ujinoloznp,1.0,21.77176049824415,,,61.17662782415348,-47.34688009453578,---,,---,0.271466,0.9999999999999939,0.11662397712253662,decals,-21.434920267404966,0.271466,9906605533697760,True,-18.741003109661197,1.7379348542744992,SN IIn,SLSN-I,1.0,early_lightgbm_02_2025,dynesty,1.0,False
ANT2026kb1ihrdp0haw,1.0,22.23784222201654,,,60.94026582419639,-50.08063232142155,---,,---,0.796707,0.9961334957800806,0.1321616824292114,decals,-22.633603708615663,0.796707,9906604846288840,True,-20.678921435489983,39.642312602256425,SLSN-I,SLSN-I,1.0,early_lightgbm_02_2025,svi,1.0,False
ANT2026iextrcgwxvm6,1.0,20.160861890328807,<https://ziggy.ucolick.org/yse/transient_detail/2026dd|*YSE-PZ*>,,64.28413859808771,-46.52928713258518,2026dd,,---,0.168783,0.9782864386336624,8.863581831000774,decals,-23.521394679118963,0.168783,9906605728141910,True,-19.28595653125844,53.751399668741215,SN Ia,SN Ia,1.0,full_lightgbm_02_2025,svi,0.0,False
ANT2026y8vluu5176td,1.0,22.490374994935152,,,62.29359361644488,-46.56805834863613,---,,---,1.150109,0.9999999999999903,0.10860989210037457,decals,-22.42099756517126,1.150109,9906605727755053,True,-21.213007043533636,1.7596359799645143,SLSN-I,SLSN-I,0.826,full_lightgbm_02_2025,svi,1.0,False
ANT2026aqox8fkblhks,1.0,22.407484228387496,,,64.1521095205332,-48.19398184547981,---,,---,0.245784,0.9983048627746479,0.514696778849631,decals,-20.052538265465703,0.245784,9906605280007294,True,-17.88185787920669,0.7217066273879027,SN II,SN II,1.0,full_lightgbm_02_2025,svi,1.0,False
ANT2026vc715jhx28aw,1.0,22.477179996220777,,,59.11016842094046,-48.53279141370686,---,,---,0.993769,0.9987357064166802,0.10854272039244335,decals,-22.30780305440383,0.993769,9906605216304672,True,-20.916830161997197,68.49046705378714,SN IIn,SN II,0.9,full_lightgbm_02_2025,svi,1.0,False
ANT2026qeewdzejcwa3,1.0,22.296100508344395,,,62.14172530366403,-49.31953285092871,---,,---,0.861624,0.9999999999999902,0.10816586226223864,decals,-21.263601305418327,0.861624,9906605030254519,True,-20.79094911129135,0.7708755503917928,SLSN-I,SLSN-I,1.0,early_lightgbm_02_2025,svi,1.0,False
ANT202650oti6g5yk5e,1.0,22.148685718509068,,,62.58432554560958,-46.62047427893879,---,,---,0.300889,0.9999103560347407,1.3522186959168598,decals,-20.07889842447892,0.300889,9906605727817097,True,-18.595580449317914,43.58469825977227,SN II,SN II,0.868,full_lightgbm_02_2025,svi,1.0,False
ANT2026yeuuvkq4kzqk,1.0,22.03324226681695,,,62.371232637201395,-47.75332689758662,---,,---,0.914067,0.9999999999999899,0.11393390371842342,decals,-22.338835391560554,0.914067,9906605406163313,True,-21.18145056225245,66.53032450511819,SLSN-I,SLSN-I,0.743,full_lightgbm_02_2025,svi,1.0,False
ANT2026mljv3hgs3qxc,1.0,21.824698801016943,<https://ziggy.ucolick.org/yse/transient_detail/2025altt|*YSE-PZ*>,,64.21548619635892,-46.57474856322128,---,,---,1.127113,0.9952975165618481,0.4486260085093512,decals,-20.17058292384218,1.127113,9906605728140115,True,-21.836241805461583,2.71688799601543,SN IIn,SN Ibc,0.394,early_lightgbm_02_2025,svi,1.0,False
ANT20265puy0gorjenf,1.0,20.67198461109259,,,62.923589330651126,-46.61735153161561,---,,---,0.127667,0.9999999999951215,1.4850046610300198,decals,-20.1783116426198,0.127667,9906605727882053,True,-18.152077746848537,6.764573354717868,SN Ibc,SN Ibc,1.0,full_lightgbm_02_2025,svi,1.0,False
ANT20264gfpkk2osxva,1.0,21.829136242600562,,,60.50731526608991,-48.42485532278232,---,,---,0.785348,0.9998993405868075,0.17637311615120932,decals,-18.86389784059752,0.785348,9906605216563567,True,-21.05628736354406,52.68602908603498,SN Ibc,SN Ibc,0.974,full_lightgbm_02_2025,svi,1.0,False
ANT2026sx7hlo75zlfw,0.984,22.291235780715432,,,59.66146524649029,-47.72228168091431,---,,---,0.710501,0.9999999999999928,0.1432859075794848,decals,-22.813508082893936,0.710501,9906605405701217,True,-20.374639162961323,40.60646124758932,SN IIn,SN IIn,1.0,full_lightgbm_02_2025,svi,1.0,False
ANT2026qpxwu5m6tca9,0.984,22.263396945482988,,,63.36847299428748,-47.692737540751125,---,,---,0.37051,0.9961199350505134,0.9679727001674729,decals,-22.43037188175711,0.37051,9906605406356460,True,-18.949239020358135,6.7221213929660735,SN II,SLSN-I,1.0,early_lightgbm_02_2025,svi,1.0,False
ANT2026c70rfgyrque6,0.981,20.42585788398398,<https://ziggy.ucolick.org/yse/transient_detail/2026ekf|*YSE-PZ*>,423.A,187.70773707120773,8.273931557308003,---,,---,0.293255,0.999945920236541,0.3511831621938634,decals,-19.218403478440987,0.293255,9906624572230448,True,-20.260582636577066,0.45962670315930154,SN Ia,SN Ia,0.453,early_lightgbm_02_2025,svi,0.019000000000000017,False
