name,peak_phase,peak_mag,yse_pz,yse_field,ra,dec,tns_name,tns_redshift,tns_class,host_redshift,host_prob,host_sep_arcsec,best_host_catalog,host_absmag,best_redshift,host_name,high_host_confidence,peak_abs_mag,posted_before
2025msz,0.21443006143090315,17.004889631409725,<https://ziggy.ucolick.org/yse/transient_detail/2025msz|*YSE-PZ*>,719.D,350.1623304,42.865427,2025msz,,None,0.0173978696887348,0.9999999999999944,0.9683682699296324,glade,-19.1099993388728,,2207802,False,,False
2025lql,2.6669330614313367,19.362501546638754,<https://ziggy.ucolick.org/yse/transient_detail/2025lql|*YSE-PZ*>,719.D,220.513434614,-9.95489880538,2025lql,,None,,,,,,,<NA>,False,,False
2025lzw,3.560791061434429,16.689050875604153,<https://ziggy.ucolick.org/yse/transient_detail/2025lzw|*YSE-PZ*>,527.C,201.9830488,34.3777777,2025lzw,0.034,SN Ia-91T-like,0.181679,0.9971496508822592,30.87418237532041,decals,-19.97202865919367,0.034,9907733169900301,True,-19.21722979290827,False
2025kmx,16.459969061434094,17.888291089821518,<https://ziggy.ucolick.org/yse/transient_detail/2025kmx|*YSE-PZ*>,719.A,185.927511902,40.0399473287,2025kmx,0.037332,SN II,0.085678,0.6553315663605779,15.777367083830766,decals,-18.6752970043365,0.037332,9907734900704105,False,-18.22278057474334,False
2025ikn,26.748064061437617,16.600810217448963,<https://ziggy.ucolick.org/yse/transient_detail/2025ikn|*YSE-PZ*>,,316.329931741,-17.6525545947,2025ikn,0.03,SN Ia,,,,,,0.03,<NA>,False,-19.031526816936164,False
2025jqt,31.20820206143253,17.72330398727132,<https://ziggy.ucolick.org/yse/transient_detail/2025jqt|*YSE-PZ*>,401.F,344.4849828,-6.2588036,2025jqt,0.06,SN Ia,0.05183,0.963241499915271,15.590746463691456,decals,-20.47644895084475,0.06,9906619151156561,True,-19.429841744155304,False
2025hnt,37.38285106143303,17.57888861357804,<https://ziggy.ucolick.org/yse/transient_detail/2025hnt|*YSE-PZ*>,,208.007480786,15.668099847,2025hnt,0.05,SN Ia,0.085163,0.9999466195088912,8.87652135405546,decals,-20.13068956787252,0.05,9906627347681977,True,-19.173259768851523,False
2025muk,46.68743406143767,16.02653419798869,<https://ziggy.ucolick.org/yse/transient_detail/2025muk|*YSE-PZ*>,,317.163528981,-27.3658505277,2025muk,,None,,,,,,,<NA>,False,,False
2025miv,65.30907906143693,16.290967948199267,<https://ziggy.ucolick.org/yse/transient_detail/2025miv|*YSE-PZ*>,719.D,220.7548834,32.9189715,2025miv,,None,0.203671,0.9999999999999925,0.2442600867734544,decals,-20.212382455727607,0.203671,9907732780355071,True,-23.576507745337615,False
2025efb,76.4057030614349,17.21917823041589,<https://ziggy.ucolick.org/yse/transient_detail/2025efb|*YSE-PZ*>,,300.585762,-20.230103,2025efb,0.019524,SN Ib/c,,,,,,0.019524,<NA>,False,-17.474650704616582,False
