antid,tns_name,tns_class,tns_redshift,superphot_plus_class_prob,ra,dec,peak_mag,peak_phase,superphot_plus_classifier,superphot_plus_sampler,superphot_plus_class,host_sep_arcsec,host_name,host_redshift,host_redshift_type,posted_before
ANT2025j3bdbx7etlm0,2025adj,SN II,0.011389,0.74,224.93532368378948,51.46306084280988,16.313596725463867,0.3744148497862625,early_lightgbm_12_2024,svi,SN II,13.169825288296348,KUG 1458+516,0.011389,SPEC,False
ANT2024me27xcwuydxt,---,---,,0.596,283.88978385,-0.3175422485364549,17.13164520263672,0.2748893501629936,full_lightgbm_12_2024,svi,SLSN-I,15.644959231964844,,0.0756728682353399,PHOT,False
ANT2025h50kqhgrn3vp,2025yz,SN Ia,0.038353,0.796,154.2254352999998,-5.866450341787783,17.238122940063477,0.5268472904863302,early_lightgbm_12_2024,svi,SN Ibc,15.727394588517418,MCG -01-26-038,0.038353,SPEC,False
ANT2025ehgowafw9hz9,2025nb,---,,0.777,246.04217199425955,25.66922420897704,16.95515251159668,0.2631319902429823,early_lightgbm_12_2024,svi,SN Ibc,7.71261165874143,WISEA J162409.72+254014.6,0.040413,SPEC,False
ANT20250zh1phld07st,2025akw,---,,0.683,76.30339547259038,-20.37978558422745,18.58890724182129,0.608363490231568,early_lightgbm_12_2024,svi,SN Ibc,9.333806620479384,WISEA J050512.64-202255.8,0.070659,SPEC,False
ANT2025pdibjfqv4wub,2025bc,---,,0.644,77.7613742,-0.2606274004138527,18.67690086364746,27.540018590312684,full_lightgbm_12_2024,svi,SN Ibc,3.692224718970497,WISEA J051103.03-001538.5,0.030959,SPEC,False
ANT2025jt3xfejr1hsu,2025wg,---,,0.549,66.9910888,0.9929120042340288,19.081785202026367,0.6277615904400591,early_lightgbm_12_2024,svi,SN Ibc,1.0047415098695591,PSO J042757.836+005933.538,0.3672604635657357,PHOT,False
ANT202513552bjcitqg,2025arw,---,,0.603,9.494102580353346,8.637095363417842,17.961477279663086,0.6277234142835368,early_lightgbm_12_2024,svi,SN Ibc,15.15680713268702,NGC 0180,0.017616,SPEC,False
ANT2025klueti8kbb9b,2025my,SN Ia,0.0291,0.654,243.6461803780915,34.22400341379028,17.16629981994629,16.015353863745986,early_lightgbm_12_2024,svi,SN Ibc,5.962512813286214,KUGX 1612+343,0.029092,SPEC,False
ANT2025vhrwf4281n8s,2025ado,---,,0.429,241.706162080386,51.88682153631252,18.798723220825195,8.047738163884787,early_lightgbm_12_2024,svi,SN Ibc,5.984254076748142,WISEA J160648.87+515311.1,0.069751,SPEC,False
ANT20258i4bw231mtli,---,---,,0.604,163.0043575861963,-20.08594635795167,17.027725219726562,6.125709294879925,early_lightgbm_12_2024,svi,SN Ibc,,,,PHOT,False
ANT2025gmfu4kei74jl,2025afh,SN Ia,0.031,0.531,46.953747649999535,-4.260354610653067,18.07210159301757,11.399643247117638,full_lightgbm_12_2024,svi,SN Ibc,12.642081908461323,WISEA J030748.23-041544.9,0.030961,SPEC,False
ANT2025b1lrd9fasqoo,2025iv,SN Ic,0.0173,0.417,31.863537090135456,19.19355784492272,16.811540603637695,0.3504071474162629,early_lightgbm_12_2024,svi,SN Ibc,7.018415389025273,CGCG 461-046,0.016995,SPEC,False
ANT2025u83jecw2w90c,2025pb,---,,0.48,245.8094899522692,40.92221875919444,17.74346923828125,7.028193368860229,early_lightgbm_12_2024,svi,SN Ibc,17.251567851978415,WISEA J162314.71+405536.8,0.5153216261862219,PHOT,False
ANT2025dg1jatint1wl,2025yn,SN II,0.017,0.455,31.077905850000008,-8.740995046648848,17.684696197509766,12.401954968743668,early_lightgbm_12_2024,svi,SN Ibc,20.935382476882417,NGC 0809,0.017812,SPEC,False
ANT20251eb6j368nqyd,2025xj,SN Ia,0.05,0.432,175.53850873585674,-18.68466891474665,17.711103439331055,18.15046186913241,early_lightgbm_12_2024,svi,SN Ibc,4.809713728712632,WISEA J114209.42-184108.2,0.0352232220295714,PHOT,False
ANT2025ealzghq69oy8,2025awg,---,,0.821,136.74321350410173,22.22595607808464,18.474424362182617,0.154136811994249,early_lightgbm_12_2024,svi,SN Ibc,3.653061400144151,GALEXASC J090658.18+221331.7,0.1393329124168258,PHOT,False
ANT20256jqeorf8pfgd,2025aob,---,,0.655,243.60187050000087,-6.024120665193621,17.689022064208984,9.98970391243347,early_lightgbm_12_2024,svi,SN Ibc,3.676011159535795,WISEA J161424.38-060123.3,0.029881,SPEC,False
ANT2025voj6knquv1e1,2025ard,SN Ia,0.0478,0.552,119.26475158722108,22.522240776697345,17.77016258239746,1.2903752123529555,early_lightgbm_12_2024,svi,SN Ibc,4.130302664044563,CGCG 118-025,0.047833,SPEC,False
ANT2024382nx87bbpk3,2024afao,SN Ic,0.05,0.542,44.50581608278381,41.7139382884273,18.249202728271484,38.19905581200146,full_lightgbm_12_2024,svi,SN Ibc,20.53590552422296,WISEA J025800.08+414305.3,0.0330460858743043,PHOT,False
ANT20246o7c3wqymqar,2024aecx,SN Ic,0.002665,0.502,166.45646185,-0.0349139499954986,13.939496994018556,45.170236377562105,full_lightgbm_12_2024,svi,SN Ibc,14.962848185479087,NGC 3521,0.002665,SPEC,False
ANT2025vbijli50adss,2025asx,---,,0.481,220.19383315001824,21.35699278319386,18.969581604003903,15.079507177280902,full_lightgbm_12_2024,svi,SN Ibc,1.9988553833618088,WISEA J144046.42+212126.5,0.096064,SPEC,False
ANT20258fpifynm1it3,2025bqa,---,,0.469,242.39294838167373,22.167448981387324,18.649974822998047,0.06543317768228,early_lightgbm_12_2024,svi,SN Ibc,1.8611745702701188,WISEA J160934.20+221004.0,0.1016025549224878,PHOT,False
ANT2024nt4wzvmgvqj3,---,---,,0.462,123.43898770755013,-11.400122467834649,14.450478553771973,15.320201677321164,early_lightgbm_12_2024,svi,SN Ibc,0.7713959591833558,WISEA J081345.41-112400.4,0.0083342552046064,PHOT,False
ANT2025i641u7q0qhyf,2025bdy,---,,0.408,223.1010681,3.716166506741658,18.709604263305664,1.0118104774082894,early_lightgbm_12_2024,svi,SN Ibc,9.980365758990382,CGCG 048-038,0.035655,SPEC,False
ANT2025btu34ywtc47v,---,---,,0.414,108.1129122,50.29321430000002,18.35136604309082,0.4056761772881145,early_lightgbm_12_2024,svi,SN Ibc,,,,PHOT,False
ANT2025f7t3a8dnf5g8,2025iw,SN II,0.0243,0.507,202.74321124794807,-21.84615414746682,18.312938690185547,12.12218471117376,full_lightgbm_12_2024,svi,SN Ibc,4.674027254818063,ESO 577- G 001,0.024313,SPEC,False
ANT2025mdi9l3vtw4ts,---,---,,0.41,212.6998535,-6.276597600000002,19.148679733276367,0.1605412113858619,early_lightgbm_12_2024,svi,SN Ibc,41.813420106193846,LCRS B140807.9-060209,0.2388544845239369,PHOT,False
ANT202544tqeax6gvy7,2025azl,SN IIb,0.02,0.404,195.98289351961216,-20.942297412547006,17.63871955871582,0.1851477112068096,early_lightgbm_12_2024,svi,SN Ibc,12.48313731937202,WISEA J130355.04-205635.2,0.0368304662099485,PHOT,False
ANT2025n3pfarqf7xnf,2025ay,SN Iax[02cx-like],0.02005,0.805,144.30198364980663,38.09396645961773,16.68027687072754,22.24431344898767,full_lightgbm_12_2024,svi,SN Ibc,6.364193821907878,UGC 05119,0.02005,SPEC,False
ANT20259rzmtiaef7dm,2024afkb,---,,0.673,130.7405983166033,37.56109976013722,18.746967315673828,43.228144449036336,full_lightgbm_12_2024,svi,SN Ibc,4.641578286334178,WISEA J084257.50+373337.3,0.0891310374436559,PHOT,False
ANT20245b2ib27pyg5a,2024abtu,SN Ic,0.017682,0.592,108.45111525529045,50.257602207170045,17.20281410217285,80.15460274912766,full_lightgbm_12_2024,svi,SN Ibc,6.727161146910195,UGC 03741,0.017682,SPEC,False
ANT2025q9kj1m7m2kgk,2025aec,SN Ia,0.055,0.48,136.7634261682609,38.32644414902008,17.953853607177734,13.103908349148696,full_lightgbm_12_2024,svi,SN Ibc,1.95016875517153,WISEA J090703.08+381936.3,0.055488,SPEC,False
ANT2024p6c282k35agf,2024agim,---,,0.472,235.503674,-6.363711879114831,17.789691925048828,58.976315749197965,full_lightgbm_12_2024,dynesty,SN IIn,5.252659813913839,WISEA J154200.54-062150.7,0.2152502151626851,PHOT,False
ANT2025jfrnprwmd8et,---,---,,0.432,54.6463517,-3.1978527049789847,20.245262145996094,0.373607348970836,early_lightgbm_12_2024,svi,SN IIn,25.662523317292603,WISEA J033833.98-031211.7,0.2298164267566444,PHOT,False
ANT2025ghbxrk74c0ur,---,---,,0.516,235.5124204,-19.47902560000001,11.14108657836914,5.029024400311755,early_lightgbm_12_2024,svi,SN Ibc,8.366580587163986,PSO J154203.549-192846.932,0.3112242020579107,PHOT,False
ANT2025qy0ic7ksn8dj,---,---,,0.465,209.1987163,-13.42134680000001,17.978321075439453,0.0812119003676343,early_lightgbm_12_2024,svi,SN Ibc,6.990250711538231,PSO J135648.106-132513.333,0.503937908489831,PHOT,False
