,tns_name,tns_class,tns_redshift,superphot_plus_class_prob,ra,dec,peak_mag,peak_phase,superphot_plus_classifier,superphot_plus_sampler,superphot_plus_class,host_sep_arcsec,host_name,host_redshift,host_redshift_type,posted_before,host_absmag,host_prob,best_host_catalog,transient_ra_deg,transient_dec_deg,superphot_plus_prob,high_host_confidence,superphot_plus_class_no_z,superphot_plus_prob_no_z,superphot_plus_class_without_redshift,superphot_plus_prob_without_redshift,peak_abs_mag,nuclear,best_redshift,superphot_nonIa_prob,superphot_non_Ia_prob,yse_field,yse_pz
ANT2025h50kqhgrn3vp,2025yz,SN Ia,0.038353,0.796,154.2254352999998,-5.866450341787783,17.238122940063477,0.5239103986459668,early_lightgbm_12_2024,svi,SN Ibc,15.727394588517418,MCG -01-26-038,0.038353,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025sabcxhn0tajb,2025qe,SN Iax[02cx-like],0.0075,0.785,139.61737875204278,73.76248750823903,16.217947006225586,0.4645353984597022,early_lightgbm_12_2024,svi,SN Ibc,21.04813744949054,PSO J091834.824+734536.004,,PHOT,False,,,,,,,,,,,,,,,,,,
ANT2025ehgowafw9hz9,2025nb,---,,0.777,246.04217199425955,25.66922420897704,16.95515251159668,0.2601950984026189,early_lightgbm_12_2024,svi,SN Ibc,7.71261165874143,WISEA J162409.72+254014.6,0.040413,SPEC,False,,,,,,,,,,,,,,,,,,
ANT20253kuwjeql3ll8,2025oq,SN Ic,0.01133,0.606,136.1601387938907,18.466676101494528,15.463980674743652,5.493701998660981,early_lightgbm_12_2024,svi,SN Ibc,11.241799061362752,NGC 2744 NED02,0.01133,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025gmfu4kei74jl,2025afh,SN Ia,0.031,0.785,46.9537354,-4.260345100000009,18.07210159301757,0.6495132997370092,early_lightgbm_12_2024,svi,SN Ibc,12.642081908461323,WISEA J030748.23-041544.9,0.030961,SPEC,False,,,,,,,,,,,,,,,,,,
ANT202513552bjcitqg,2025arw,---,,0.603,9.494102580353346,8.637095363417842,17.961477279663086,0.6274183999485103,early_lightgbm_12_2024,svi,SN Ibc,15.15680713268702,NGC 0180,0.017616,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025dg1jatint1wl,2025yn,SN II,0.017,0.458,31.0779061,-8.740994400000005,17.684696197509766,0.6490387997328071,early_lightgbm_12_2024,svi,SN Ibc,20.935382476882417,NGC 0809,0.017812,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025xcatqkg8otbt,2025zt,---,,0.45,14.9264152,26.651368899999994,18.266075134277344,0.6426729999220697,early_lightgbm_12_2024,svi,SN II,2.4664623943474218,2MASX J00594231+2639026,0.047183,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025j3bdbx7etlm0,2025adj,SN II,0.011389,0.719,224.93529980748872,51.46307850737459,16.313596725463867,8.071678754204186,early_lightgbm_12_2024,svi,SN II,13.167595747143675,KUG 1458+516,0.011389,SPEC,False,,,,,,,,,,,,,,,,,,
ANT2025hlmql2x4acfh,---,---,,0.458,158.9880427,-19.772405300000003,16.48605728149414,16.081019054428907,early_lightgbm_12_2024,svi,SN II,,,,PHOT,False,,,,,,,,,,,,,,,,,,
