Transient,UserID,UserName,Response,Timestamp
ANT2025mwcypunhf31r,U02JXRVMCLW,vav5084,upvote,1754588814.171029
ANT20258215ymfezuax,U02JXRVMCLW,vav5084,downvote,1756300532.160529
ANT2025jnqbfrpmquze,U02JXRVMCLW,vav5084,downvote,1756300531.025409
ANT2025p660a4lwadb0,U02JXRVMCLW,vav5084,downvote,1756300529.917729
ANT202533o31e1grbfi,U02JXRVMCLW,vav5084,downvote,1756300528.642409
ANT2025munczq21ydjq,U02JXRVMCLW,vav5084,downvote,1758028398.971219
ANT202585mgy4paskw2,U02JXRVMCLW,vav5084,upvote,1758028399.950329
ANT2025loo7h163l7k7,U02JXRVMCLW,vav5084,downvote,1758028401.729399
ANT2025vszcjzn39yg5,U02JXRVMCLW,vav5084,downvote,1758028402.742759
ANT20258ysd2tpqspl6,U02JXRVMCLW,vav5084,downvote,1758028403.819809
ANT2025k2dj14efel5b,U02JXRVMCLW,vav5084,upvote,1758028404.942509
ANT2025v3pn6fpu1wp0,U02JXRVMCLW,vav5084,downvote,1758028406.060449
ANT2025rygsv6oe87yz,U02JXRVMCLW,vav5084,downvote,1762783076.265379
ANT20250ljld7ouikoq,U02JXRVMCLW,vav5084,upvote,1762783083.924039
ANT2025h22q6j5k26ne,U02JXRVMCLW,vav5084,upvote,1762783087.817049
ANT2025dvi6yvhn68cz,U02JXRVMCLW,vav5084,downvote,1762783092.400479
ANT20254q4b2gmfr6l2,U02JXRVMCLW,vav5084,downvote,1762783094.044839
ANT2025yewkyl8dmjcw,U02JXRVMCLW,vav5084,upvote,1762783096.013169
ANT2025c7sp3kvhh4zs,U02JXRVMCLW,vav5084,downvote,1762783103.325649
ANT20257zup8joym90h,U02JXRVMCLW,vav5084,upvote,1762783106.861889
