name,ra,dec,tns_name,tns_class,tns_redshift,peak_phase,nuclear,peak_mag,host_name,best_host_catalog,host_redshift,host_sep_arcsec,host_absmag,host_prob,high_host_confidence,best_redshift,peak_abs_mag,posted_before,transient_ra_deg,transient_dec_deg,yse_field,yse_pz
2025ckp,186.7498745254869,6.620557623438488,2025ckp,,,65.29684659063787,False,19.929,9906623916151676.0,decals,0.257704,2.986256395615824,-19.51707365942433,0.999999999979352,True,0.257704,-20.46678303253061,False,186.7498745254869,6.620557623438488,,
2024wsj,263.1734895772471,32.2462220364945,2024wsj,,,144.6981222924078,False,18.905,1.467026317261551e+17,panstarrs,0.2066004868082452,27.288071258091684,-22.120819460085507,0.2845133920905451,False,,,False,,,,
2024aely,123.27117161591624,-16.861044008378066,2024aely,,,109.4521222924086,False,19.594,8.776123270687682e+16,panstarrs,0.1057238534438859,2.031032492400989,-20.818069906914857,0.990443886071809,False,,,False,,,,
2025da,161.55079718879205,58.44942077618157,2025da,SN,0.04968,92.35112229240622,True,18.761,2578837.0,glade,0.0503435973780116,2.0836731231463905,16.43,0.7943167806452809,False,0.04968,-17.977041286763843,False,,,,
2025pb,245.80948162223808,40.92223753728152,2025pb,,,58.374122292407264,False,17.743,9907735200400504.0,decals,0.052304,0.9196944339580992,-15.958843597512937,0.9988331940688032,True,0.052304,-19.10815709505277,False,,,,
15BYSEaxf,210.5362039219392,4.3735988099223135,,,,58.35212229241006,False,19.811,9906623076110892.0,decals,0.214873,0.3799183610981656,-20.167942490327874,0.9987064258216622,True,0.214873,-20.176553603613733,False,,,,
2025xe,227.23977310454467,-7.584687784690528,2025xe,,,58.3251222924082,False,19.07,9.889227238902886e+16,panstarrs,0.1013422365876429,3.05313726213849,-20.384609485721143,0.995733879564795,False,,,False,,,,
2025apj,155.69766859297476,55.98860375129278,2025apj,,,55.374122292407264,False,18.922,9907738938508966.0,decals,0.186142,0.8405900551082253,-20.832507355336485,0.999491807915406,True,0.186142,-20.743842601100248,False,,,,
2025apn,215.1934427458944,5.492338576012702,2025apn,SN Ic,0.0275,53.86412229240523,False,17.958,9906623547900992.0,decals,0.401561,6.739007790225502,-20.99277813559461,0.0469742103067893,True,0.0275,-17.48403638361,False,,,,
2025ckv,160.43663746883462,57.12922620658978,2025ckv,,,53.35412229241047,False,19.445,,,,,,,False,,,False,,,,
2025cdy,218.1075292987504,4.812209533145309,2025cdy,,,50.52012229240791,True,19.1,9906623266422848.0,decals,0.145058,0.303865638688115,-18.95886849139597,0.9999687789171025,True,0.145058,-20.00857724546435,False,,,,
