name,peak_phase,peak_mag,yse_pz,yse_field,ra,dec,tns_name,tns_redshift,tns_class,host_redshift,host_prob,host_sep_arcsec,best_host_catalog,host_absmag,best_redshift,host_name,high_host_confidence,peak_abs_mag,posted_before
2025nrd,0.2579010291301529,19.32,<https://ziggy.ucolick.org/yse/transient_detail/2025nrd|*YSE-PZ*>,423.E,228.1670458333333,-4.770297222222222,2025nrd,,---,0.302194,0.9976398303599536,0.6293910752893717,decals,-19.233587006379054,0.302194,9906619685012556,True,-21.43400471592741,False
2025orz,1.0719010291359155,19.575,<https://ziggy.ucolick.org/yse/transient_detail/2025orz|*YSE-PZ*>,477.C,334.2249208333333,1.8177944444444445,2025orz,,---,0.088295,0.4408753918666667,4.567695060065567,decals,-22.03244271152844,,9906622165426164,False,,False
15FYSEdds,4.279901029134635,20.026,<https://ziggy.ucolick.org/yse/transient_detail/15FYSEdds|*YSE-PZ*>,719.A,224.8358256970328,39.30840669427193,,,---,0.46473,0.9944244458344134,0.1808183140893862,decals,-20.66446294327184,0.46473,9907734690005924,True,-21.695610835023448,False
2025nre,4.375901029132365,19.419999999999998,<https://ziggy.ucolick.org/yse/transient_detail/2025nre|*YSE-PZ*>,477.C,213.5145708333333,45.964800000000004,2025nre,,---,0.068066,0.9995586713449816,1.9530781777651967,decals,-18.170621616706867,0.068066,9907736566499102,True,-18.011055814065223,False
15EYSEcid,4.377901029132772,19.87,<https://ziggy.ucolick.org/yse/transient_detail/15EYSEcid|*YSE-PZ*>,,167.31752029481808,54.80032761316852,,,---,0.155792,0.9999999999998556,2.1316922155328686,decals,-17.77223739920916,0.155792,9907738670860558,True,-19.397877390780316,False
2025odz,5.307901029133063,19.913,<https://ziggy.ucolick.org/yse/transient_detail/2025odz|*YSE-PZ*>,719.A,215.71911341877706,48.927589903522524,2025odz,,---,,,,,,,nan,False,,False
15FYSEdcx,5.364901029133762,20.281000000000002,<https://ziggy.ucolick.org/yse/transient_detail/15FYSEdcx|*YSE-PZ*>,719.A,214.1371251248169,14.03252875907891,,,---,0.615083,0.9999999999999829,0.42975393253999344,decals,-20.502886798628875,0.615083,9906626710015000,True,-22.06618432481197,False
15CYSEbow,5.37190102913155,20.166999999999998,<https://ziggy.ucolick.org/yse/transient_detail/15CYSEbow|*YSE-PZ*>,423.B,191.6007145095134,31.50510201243555,,,---,0.180717,0.8931752290161545,12.483960420498864,decals,-21.17492258937346,0.180717,9906632782384681,True,-19.432633555572828,False
2025onh,5.377901029132772,20.07,<https://ziggy.ucolick.org/yse/transient_detail/2025onh|*YSE-PZ*>,749.F,229.151047399261,51.289501675009404,2025onh,,---,0.195002,0.9999999999999949,0.1307406297571501,decals,-19.202654708813085,0.195002,9907737882592815,True,-19.69999141241608,False
2025nlg,6.329901029130269,20.032,<https://ziggy.ucolick.org/yse/transient_detail/2025nlg|*YSE-PZ*>,719.A,214.48122981133844,51.98222580504152,2025nlg,,---,0.249184,0.9999999999999852,0.464816472561359,decals,-18.43715709656636,0.249184,9907738056459189,True,-20.288215120951726,False
