ANTID,Unnamed: 0,TNS_Name,Spec_Class,Superphot_Class,Superphot_Class_Prob
ANT2024aazpowyccai2,,2024hu,---,SN Ibc,0.397
ANT20248agnotfitumw,,2024eoi,---,SN Ibc,0.443
ANT2024vkdqio37i7tp,,2024enx,---,SN Ibc,0.632
ANT2024dkncmexwqzdb,,2024etn,---,SN Ibc,0.333
ANT2024zv40nds0rhds,,No TNS,---,SN Ibc,0.482
ANT2024q36c4hlb8sgh,,2024esz,---,SN Ibc,0.265
ANT2024v5pxlt6r4mz5,,2024exn,---,SN Ibc,0.714
ANT2024qtk6jdajnney,,2024euo,---,SN Ibc,0.373
ANT2024qttxa3q6jpwn,,2024etq,---,SN Ibc,0.299
ANT2024d0a5iycvf0r5,,No TNS,---,SN Ibc,0.665
ANT2024p95qrpsverh8,,2024esh,---,SN Ibc,0.342
ANT2024nmnm7zptf6i5,,2024evx,---,SN Ibc,0.291
ANT2024m3m4rn1a1siz,,2024ahv,SN Ib,SN Ibc,0.797
ANT20245dflzpyymvek,,2024ewm,---,SN Ibc,0.381
ANT20244jd0rd5bhl83,,2024ewo,---,SN Ibc,0.346
ANT2024gzqb45v2nzs4,,2024eqg,---,SN Ibc,0.431
ANT2024wr7x89lxgg02,,2024dla,SN Ia,SN Ibc,0.424
ANT2024sm9clvhu92i4,,2024evy,---,SN Ibc,0.348
ANT2024ij0u0j93284u,,2024eca,SN Ic,SN Ibc,0.67
ANT2023f5qwva2oz2s9,,No TNS,---,SN IIn,0.809
ANT20249efk1jic89ex,,2024crf,SN IIn,SN IIn,0.484
ANT2024w10w0bvv3x7x,,2024enu,SN Ia-91T-like,SN IIn,0.341
ANT2024yjsmwklg2pe6,,2024efn,SN Ia,SN IIn,0.336
ANT2024srzo5audo05v,,2024dic,---,SN IIn,0.291
ANT2024zdytuqkmc4c8,,2024eny,SN Ia,SN IIn,0.323
ANT2024hl6pc9s9584v,,2024dlz,---,SN IIn,0.322
ANT2024w2p13a7ovnxa,,2024eqh,---,SN IIn,0.316
ANT2024fc6l6qy97q9w,,2024ere,---,SN IIn,0.309
ANT2024iwdkx4wwduzv,,2024elv,SN Ia,SN IIn,0.669
ANT2024rl2p8yqk04co,,2024ejv,---,SN IIn,0.58
ANT20242zizq2pnec79,,2024bcm,SN IIn,SN IIn,0.42
ANT2024qieoqikd4pek,,2024egd,SN II,SN IIn,0.349
ANT202414jxf33c3klg,,2024dlg,SN Ia,SN IIn,0.381
ANT2024tgvkdxfr0xq3,,2024cui,---,SN IIn,0.369
ANT20245hbdj17rq3by,,2024ecl,---,SN Ibc,0.8
ANT2024a2987zgz63rn,,2024cdr,SN IIb,SN Ibc,0.895
ANT2024l45wxb8tur6g,,2024epy,---,SN Ibc,0.341
ANT2024tozwoc9atgao,,2024eeu,---,SN Ibc,0.333
ANT2024l70o09xvmqm7,,2024dgx,SN Ic,SN Ibc,0.592
ANT2024f2s9sqkgrgmh,,2024cjb,SN Ia,SN Ibc,0.59
ANT2024ducsn7safddg,,2024cxh,SN Ia,SN Ibc,0.621
ANT2024x9rlw1zsqgiq,,2024dkm,---,SN Ibc,0.612
ANT2024vo37x34m1s8d,,2024cka,SN Ia,SN Ibc,0.849
ANT2024non277oekawc,,2024epx,SN Ia,SN Ibc,0.438
ANT2024lk1icphabxfw,,2024err,---,SN Ibc,0.419
ANT2024jh37wgi8uqma,,2024cql,---,SN Ibc,0.455
ANT2024uf5rzlyxkmfn,,2024esm,---,SN IIn,0.288
ANT20242zizq2pnec79,,2024bcm,SN IIn,SN IIn,0.442
ANT2024wm6aamfx3iy6,,2024egf,SN Ia,SN IIn,0.717
ANT2024qsknlycenpoc,,2024eic,---,SN IIn,0.281
ANT2024g3xheubo4d5p,,2024eqm,---,SN IIn,0.349
ANT2024qfwij2jmhw1u,,2024ejm,SN Ia,SN IIn,0.342
ANT202417dej1h7qpsr,,2024eqd,---,SN IIn,0.328
ANT202348xqm7c73j1b,,2023zqi,---,SN IIn,0.765
ANT2024pgz9qukk3pq1,,2024eab,---,SN IIn,0.258
ANT2024a7i55ckpfr6m,,2024eor,---,SN IIn,0.341
ANT202328bh61ki75zd,,2023xix,SN IIn,SN IIn,0.526
ANT2024a3m0src88do3,,2024bgb,---,SN IIn,0.614
ANT2024oc3rkz4pr8d3,,2024eqr,---,SN IIn,0.264
ANT2024cof9d1ccehmw,,2024ert,---,SN IIn,0.4
ANT202482zfr9yf9pbh,,2024dmp,---,SN IIn,0.312
ANT20246vp614j74i0v,,2024diw,---,SN IIn,0.369
ANT2024z2vqw80dfx9t,,2024eqx,---,SN IIn,0.359
ANT20248qt4jabm44nm,,2024as,TDE,SN IIn,0.383
ANT2024jcirzsl5y3l9,,2024dis,---,SN IIn,0.312
ANT20241tpytb0c1skv,,2024bex,---,SN IIn,0.409
ANT2023f7sqf2fm2zyo,,2023zgo,AGN,SN IIn,0.59
ANT2023ssjbjrjmdp2t,,2023aclf,---,SN IIn,0.486
ANT202369fy2dph1v6d,,No TNS,---,SN IIn,0.731
ANT2023v7bn9lm2b9ci,,No TNS,---,SN IIn,0.936
ANT2024bt5y81uclsda,,2024eqa,---,SN IIn,0.315
ANT2024ijdx09hobxjy,,2024ekx,---,SN IIn,0.343
ANT2024ev6pgosnuhrd,,2024cij,---,SN IIn,0.784
ANT2024a330zyg4sbyi,,2024efa,---,SN IIn,0.305
ANT2023lnaj99tjzu7i,,No TNS,---,SN IIn,0.779
ANT2023d8bc92d6u0uw,,2023zmy,---,SN IIn,0.598
ANT2023bc1ckykk40dz,,No TNS,---,SN IIn,0.649
ANT2024s94j134mdq6q,,No TNS,---,SN Ibc,0.326
ANT2024qttxa3q6jpwn,,2024etq,---,SN Ibc,0.315
ANT20241n11tw1c52c8,,2024emz,---,SN Ibc,0.395
ANT2024l2i0zxsa3v5i,,2024ezr,---,SN Ibc,0.353
ANT2024dkw72u7pbfsc,,2024eyy,---,SN Ibc,0.336
ANT2024q36c4hlb8sgh,,2024esz,---,SN Ibc,0.36
ANT2024v5pxlt6r4mz5,,2024exn,---,SN Ibc,0.598
ANT2024vkdqio37i7tp,,2024enx,---,SN Ibc,0.419
ANT20243wzfvj49829t,,No TNS,---,SN Ibc,0.501
ANT2023n3xr92hj9vrx,,2023zvq,SN Ia,SN Ibc,0.558
ANT2024p95qrpsverh8,,2024esh,---,SN Ibc,0.592
ANT2024m3m4rn1a1siz,,2024ahv,SN Ib,SN Ibc,0.792
ANT20246suef72779i4,,2024ewp,---,SN Ibc,0.283
ANT202414jxf33c3klg,,2024dlg,SN Ia,SN Ibc,0.33
ANT2024zv40nds0rhds,,2024ezv,---,SN Ibc,0.348
ANT2024wr7x89lxgg02,,2024dla,SN Ia,SN Ibc,0.61
ANT20244gaj9c6be99p,,2024ewj,---,SN Ibc,0.412
ANT2024ps3buerp6yfh,,2024ewe,---,SN Ibc,0.378
ANT2024rd1k0ci271og,,2024epm,---,SN Ibc,0.315
ANT2024ij0u0j93284u,,2024eca,SN Ic,SN Ibc,0.645
ANT2024kn1t0bd0n4c8,,2024esn,SN Ia,SN IIn,0.335
ANT2024w10w0bvv3x7x,,2024enu,SN Ia-91T-like,SN IIn,0.374
ANT2024bzvvvf03jgfm,,2024ewr,---,SN IIn,0.331
ANT2024yjsmwklg2pe6,,2024efn,SN Ia,SN IIn,0.369
ANT2024w2p13a7ovnxa,,2024eqh,---,SN IIn,0.333
ANT2024f74evb80pyen,,2024elf,SN II,SN IIn,0.262
ANT2024zdytuqkmc4c8,,2024eny,SN Ia,SN IIn,0.432
ANT2024gsin5r1j31v5,,2024ezo,---,SN IIn,0.295
ANT20241p7xvl13kbvv,,2024etm,---,SN IIn,0.308
ANT2024qy8hoerc8wqi,,2024eza,---,SN IIn,0.328
ANT2024nmnm7zptf6i5,,2024evx,---,SN IIn,0.369
ANT2024fc6l6qy97q9w,,2024ere,---,SN IIn,0.395
ANT20244jd0rd5bhl83,,2024ewo,---,SN IIn,0.318
ANT2024pp92zprxevaz,,2024dmm,---,SN IIn,0.289
ANT2024foeccckm2uq5,,2024eua,---,SN IIn,0.272
ANT2024qieoqikd4pek,,2024egd,SN II,SN IIn,0.378
ANT20242zizq2pnec79,,2024bcm,SN IIn,SN IIn,0.546
ANT2024sm9clvhu92i4,,2024evy,---,SN IIn,0.345
ANT20248rsvow3iobdx,,2024ene,---,SN IIn,0.293
ANT2024c9ylw77ijopb,,2024eog,---,SN IIn,0.243
ANT2024idyz9u22wo1z,,2024acn,SN II,SN IIn,0.33
ANT20242j9d9dm3913j,,2024ehs,SN II,SN IIn,0.345
ANT2024ppil8ekukinn,,2024edx,---,SN IIn,0.318
ANT20237fc56shv6yci,,No TNS,---,SN IIn,0.855
ANT20249do0bcw50f5a,,2024evl,---,SN IIn,0.256
ANT2023s0qq1e5nsdhs,,No TNS,---,SN IIn,0.547
ANT2023mw0je6roauxs,,2023yea,---,SN IIn,0.494
ANT2023776fvcdoqr7o,,2023acmk,---,SN IIn,0.341
ANT2024mdrblz1z46uf,,2024cig,---,SN IIn,0.451
ANT2024m4kfrmbwgeop,,2024exf,---,SN Ibc,0.29
ANT20246vp614j74i0v,,2024diw,---,SN IIn,0.427
ANT2023qqf00bstptx0,,2020afgu,---,SN IIn,0.845
ANT20243rqbxhtja9f2,,2024dtz,---,SN IIn,0.752
ANT2023ssjbjrjmdp2t,,2023aclf,---,SN IIn,0.548
ANT2024kn1t0bd0n4c8,,2024esn,SN Ia,SN IIn,0.36
ANT2024kri7o817n2vr,,No TNS,---,SN Ibc,0.608
ANT2024gk5wekn2nbyg,,No TNS,---,SN Ibc,0.454
ANT20248agnotfitumw,,2024eoi,---,SN Ibc,0.418
ANT2024f8h4odlw2c8e,,2024ffm,---,SN Ibc,0.26
ANT2024647b7g0zj290,,2024aoj,---,SN Ibc,0.766
ANT2024h5ryicembzqx,,2024agk,---,SN Ibc,0.699
ANT2024nl77aj07e8fm,,2023ysa,SN Ib,SN Ibc,0.354
ANT2024knoci5g7twn7,,No TNS,---,SN Ibc,0.266
ANT2024ltewdd2vv5s4,,No TNS,---,SN Ibc,0.342
ANT2024a330zyg4sbyi,,2024efa,---,SN Ibc,0.252
ANT2024yujnv9qhbgju,,2024ffp,---,SN Ibc,0.397
ANT2023sh2it4qk8ygl,,No TNS,---,SN Ibc,0.43
ANT2024a2987zgz63rn,,2024cdr,SN IIb,SN Ibc,0.885
ANT2024uqbt0wryks2w,,2024ctl,---,SN Ibc,0.455
ANT2024l45wxb8tur6g,,2024epy,---,SN Ibc,0.542
ANT2024vo37x34m1s8d,,2024cka,SN Ia,SN Ibc,0.832
ANT2024d2zq0oqvnb3o,,No TNS,---,SN Ibc,0.436
ANT2024m4kfrmbwgeop,,2024exf,---,SN Ibc,0.355
ANT202302ld8se0jne7,,No TNS,---,SN Ibc,0.471
ANT20239iikcae6ujn3,,2023tfp,---,SN Ibc,0.4626817107200622
ANT20247ny4vk2hq8c9,,2024faq,---,SN IIn,0.316
ANT20242zizq2pnec79,,2024bcm,SN IIn,SN IIn,0.472
ANT2024yf5la745jnd6,,2024exl,---,SN IIn,0.263
ANT20249efk1jic89ex,,2024crf,SN IIn,SN IIn,0.556
ANT202465rn5ogis9sk,,2024ejz,---,SN IIn,0.448
ANT202348xqm7c73j1b,,2023zqi,---,SN IIn,0.681
ANT2024xcnv5omifj1t,,2024dkk,---,SN IIn,0.414
ANT202453y28bj9hh1e,,2024fah,---,SN IIn,0.362
ANT2024tzcqjf809t7z,,2024vs,SN II,SN IIn,0.652
ANT2024hdxnohy0aquu,,2024dju,---,SN IIn,0.417
ANT2024moqo753asbdg,,2024fai,---,SN IIn,0.32
ANT2024slogozy34z0f,,2024eql,---,SN IIn,0.385
ANT2024uto1fjbqj2gb,,2024fbf,---,SN IIn,0.293
ANT2023ssjbjrjmdp2t,,2023aclf,---,SN IIn,0.759
ANT2024343rf7gc2bx9,,2024fgi,---,SN IIn,0.353
ANT2023mrdikxhv0hlf,,No TNS,---,SN IIn,0.699
ANT2024a3m0src88do3,,2024bgb,---,SN IIn,0.646
ANT202432upvnlbyc2h,,2024cyj,---,SN IIn,0.582
ANT2024094xld3tvwve,,2024ov,---,SN IIn,0.808
ANT2024fpqe1j5fiwkj,,No TNS,---,SN IIn,0.43
ANT20243rqbxhtja9f2,,2024dtz,---,SN IIn,0.375
ANT2024nqa97i7obflw,,2024csu,---,SN IIn,0.633
ANT20239x6r3im6y3l4,,No TNS,---,SN IIn,0.783
ANT20241tpytb0c1skv,,2024bex,---,SN IIn,0.46
ANT2024m5c2ul8oe0x1,,2024alt,---,SN IIn,0.577
ANT2023hqwnbb9kotep,,No TNS,---,SN IIn,0.714
ANT2024ev6pgosnuhrd,,2024cij,---,SN IIn,0.776
ANT2024phiapn8es1j9,,2024ebm,---,SN IIn,0.467
ANT2023z3x4xovdsyfe,,No TNS,---,SN IIn,0.794
ANT20231120pu4ajl0u,,No TNS,---,SN IIn,0.707
ANT2023n0h1petijrer,,No TNS,---,SN IIn,0.573
ANT2023c52thjpwlue6,,No TNS,---,SN IIn,0.664
ANT20243yddj2n1iw0q,,No TNS,---,SN IIn,0.661
ANT2023k7xppz25n89l,,No TNS,---,SN IIn,0.454
ANT2024hl6pc9s9584v,,2024dlz,---,SN Ibc,0.336
ANT2024v5pxlt6r4mz5,,2024exn,---,SN Ibc,0.789
ANT2024sqim105dhzy7,,No TNS,---,SN Ibc,0.282
ANT2024wr7x89lxgg02,,2024dla,SN Ia,SN Ibc,0.553
ANT20247u4d0x8g6qnt,,2024eyz,---,SN Ibc,0.364
ANT2024nc8oe5ke1sn6,,2024eta,---,SN Ibc,0.491
ANT20242w013zvhxspl,,No TNS,---,SN Ibc,0.648
ANT2024m3m4rn1a1siz,,2024ahv,SN Ib,SN Ibc,0.788
ANT20244gaj9c6be99p,,2024ewj,---,SN Ibc,0.398
ANT20242drtadv0dko8,,2024dlo,---,SN Ibc,0.519
ANT2023n3xr92hj9vrx,,2023zvq,SN Ia,SN Ibc,0.569
ANT2024ttcbsmo6h5v2,,2019ggc,---,SN Ibc,0.358
ANT2024ij0u0j93284u,,2024eca,SN Ic,SN Ibc,0.7
ANT2024s1m47vaq1vru,,2024daa,---,SN Ibc,0.332
ANT20243wzfvj49829t,,2024fdl,---,SN Ibc,0.536
ANT2024kz9wlojyesi0,,No TNS,---,SN Ibc,0.261
ANT2024c9ylw77ijopb,,2024eog,---,SN Ibc,0.45
ANT2024lglwnx3utuo6,,2024fet,---,SN Ibc,0.413
ANT2024l45wxb8tur6g,,2024epy,---,SN Ibc,0.475
ANT20242j3m6y8m2qgp,,2024fdt,---,SN Ibc,0.28
ANT2024bxz8s0hpisua,,2024ejr,SN Ia,SN Ibc,0.626
ANT2024jh37wgi8uqma,,2024cql,---,SN Ibc,0.481
ANT2024hha79ige28nu,,2024etp,---,SN Ibc,0.261
ANT2024aazpowyccai2,,2024hu,---,SN Ibc,0.34
ANT2024qtk6jdajnney,,2024euo,---,SN IIn,0.389
ANT2024wejvhewsjchv,,2024fdi,---,SN IIn,0.332
ANT2024yjsmwklg2pe6,,2024efn,SN Ia,SN IIn,0.448
ANT2024q36c4hlb8sgh,,2024esz,---,SN IIn,0.467
ANT20241p7xvl13kbvv,,2024etm,---,SN IIn,0.375
ANT2024ordhshtallus,,2024fcp,---,SN IIn,0.283
ANT2024tgvkdxfr0xq3,,2024cui,SN IIn,SN IIn,0.746
ANT2024foeccckm2uq5,,2024eua,---,SN IIn,0.488
ANT2024w14brpkfezhr,,No TNS,---,SN IIn,0.251
ANT2024cxr7vlkd00ua,,2024fcg,---,SN IIn,0.416
ANT2024f8h4odlw2c8e,,2024ffm,---,SN IIn,0.275
ANT2024pa9g364zncew,,2024ezn,---,SN IIn,0.36
ANT2024sy43lfy5ljws,,2024cmr,---,SN IIn,0.405
ANT2024bavbhit16azt,,2024etj,---,SN IIn,0.286
ANT2024sm9clvhu92i4,,2024evy,---,SN IIn,0.31
ANT2024s5gso3t8bqx6,,2024eib,SN Ia,SN IIn,0.388
ANT202477ri3fiy43nc,,2024evq,---,SN IIn,0.383
ANT2023wrf0wr6x1vxh,,No TNS,---,SN IIn,0.428
ANT2024zv40nds0rhds,,2024ezv,---,SN IIn,0.337
ANT2024z1viru1o531d,,2024esi,---,SN IIn,0.287
ANT2023tcg3bhbzf782,,2023adpz,---,SN IIn,0.415
ANT2024rj7v6ikm8mpr,,2024ffl,---,SN IIn,0.339
ANT20248ze4z6mbpfwn,,2024fhg,---,SN IIn,0.315
ANT2024ps3buerp6yfh,,2024ewe,---,SN IIn,0.335
ANT202470u00t7nt0k6,,2024fdb,---,SN IIn,0.338
ANT2024svemo5z6o04v,,2024fjc,---,SN IIn,0.327
ANT2024fovewh4xy1zh,,2024cif,---,SN IIn,0.362
ANT2024lqjvfwqvfrdn,,2024eyr,SN,SN IIn,0.286
ANT2024t0tdzuypyxq9,,2024eqn,---,SN IIn,0.295
ANT2024qgj5qop4xk8e,,2024bqd,---,SN IIn,0.433
ANT2023wr7tz83srpkd,,2023xax,---,SN IIn,0.815
ANT20242j9d9dm3913j,,2024ehs,SN II,SN IIn,0.373
ANT2024ppil8ekukinn,,2024edx,---,SN IIn,0.293
ANT2024qfq8pbqp2o44,,2024fcu,---,SN IIn,0.287
ANT2023mw0je6roauxs,,2023yea,---,SN IIn,0.929
ANT2024uocktazmindu,,2024fch,---,SN IIn,0.25
ANT20246vp614j74i0v,,2024diw,---,SN IIn,0.462
ANT2024c8ujkilve1y6,,2024feb,---,SN IIn,0.346
ANT2023jhu1s8ifvgrd,,No TNS,---,SN IIn,0.859
ANT2024qnivts02wzdt,,2024fba,---,SN IIn,0.363
ANT2023d8bc92d6u0uw,,2023zmy,---,SN IIn,0.689
ANT2023ssjbjrjmdp2t,,2023aclf,---,SN IIn,0.716
ANT2024g4bfetebg5rf,,2024fed,---,SN IIn,0.374
ANT20232c6qxkvocbm0,,No TNS,---,SN IIn,0.808
ANT2023z7428vry95bv,,No TNS,---,SN IIn,0.689
ANT20238uyg4oqlpyr0,,No TNS,---,SN IIn,0.563
ANT20237s8aasav3xaa,,No TNS,---,SN IIn,0.556
ANT20237mqhzj21nqpc,,2023ydk,---,SN IIn,0.56
ANT2023j9pi959zryvz,,No TNS,---,SN IIn,0.941
ANT20233opto14qdny7,,No TNS,---,SN IIn,0.417
ANT202309l661u4pewa,,No TNS,---,SN IIn,0.847
ANT2024rfs6751vm4j9,,2023abdq,SN II,SN IIn,0.568
ANT20235ucai62pmbtu,,No TNS,---,SN IIn,0.541
ANT2023mog8fknk3o24,,No TNS,---,SN IIn,0.663
ANT202306bqdqcv9nu5,,No TNS,---,SN IIn,0.477
ANT20243alz7heypi0d,,2024fmc,---,SN Ibc,0.539
ANT2024yf5la745jnd6,,2024exl,---,SN Ibc,0.332
ANT20248agnotfitumw,,2024eoi,---,SN Ibc,0.455
ANT202417dq9f0hejf3,,No TNS,---,SN Ibc,0.517
ANT2024ep2oc9vnxgpp,,2024fob,---,SN Ibc,0.37
ANT2024h5ryicembzqx,,2024agk,---,SN Ibc,0.72
ANT2024647b7g0zj290,,2024aoj,---,SN Ibc,0.839
ANT2024nl77aj07e8fm,,2023ysa,SN Ib,SN Ibc,0.533
ANT202465rn5ogis9sk,,2024ejz,---,SN Ibc,0.317
ANT2024qab5trv2kem8,,2024fhv,---,SN Ibc,0.466
ANT2024p4sr6kv8nmr1,,2024fis,---,SN Ibc,0.32
ANT2024l70o09xvmqm7,,2024dgx,SN Ic,SN Ibc,0.65
ANT2024lk1icphabxfw,,2024err,---,SN Ibc,0.423
ANT2024uocktazmindu,,2024fch,---,SN Ibc,0.275
ANT2024a330zyg4sbyi,,2024efa,---,SN Ibc,0.303
ANT2024p6t1ediqorpk,,2024fbh,---,SN Ibc,0.282
ANT2024a7i55ckpfr6m,,2024eor,---,SN Ibc,0.341
ANT2023pz50wzpo2kcd,,No TNS,---,SN IIn,0.585
ANT20249efk1jic89ex,,2024crf,SN IIn,SN IIn,0.757
ANT2023iqf3i94yqhwf,,2023yjd,---,SN IIn,0.407
ANT202461exahew2eo0,,2024fhq,---,SN IIn,0.317
ANT20247ny4vk2hq8c9,,2024faq,---,SN IIn,0.259
ANT2024y36axi59utos,,2024fel,---,SN IIn,0.28
ANT202453y28bj9hh1e,,2024fah,---,SN IIn,0.345
ANT202439jltrkjo66a,,2024foh,---,SN IIn,0.368
ANT202348xqm7c73j1b,,2023zqi,---,SN IIn,0.739
ANT20242j9rvsaoc2kq,,2024flh,---,SN IIn,0.299
ANT20247dl49qv5twug,,2024fly,---,SN IIn,0.22
ANT2024g3xheubo4d5p,,2024eqm,---,SN IIn,0.258
ANT20248qt4jabm44nm,,2024as,TDE,SN IIn,0.387
ANT2024jgylp889zeif,,2024fnw,---,SN IIn,0.338
ANT2023s0qq1e5nsdhs,,No TNS,---,SN IIn,0.398
ANT2024wmcfpommo9gj,,2024fmi,---,SN IIn,0.301
ANT20246z1zps80gb80,,2024fas,---,SN IIn,0.299
ANT2024a3m0src88do3,,2024bgb,---,SN IIn,0.673
ANT2024l627m9cfrbzg,,2024fmv,---,SN IIn,0.301
ANT202328bh61ki75zd,,2023xix,SN IIn,SN IIn,0.665
ANT2023i9a1m78v8iix,,No TNS,---,SN IIn,0.482
ANT202481t3ao1vyzpk,,2024fbj,---,SN IIn,0.31
ANT2024094xld3tvwve,,2024ov,---,SN IIn,0.788
ANT20244kkmjqbw7wmr,,2024fnh,---,SN IIn,0.263
ANT2024l7bpkjlrpzhk,,No TNS,---,SN IIn,0.472
ANT2024y7tmbhs44zwt,,No TNS,---,SN IIn,0.78
ANT20246fut7vfcbwi8,,No TNS,---,SN IIn,0.505
ANT2024uto1fjbqj2gb,,2024fbf,---,SN IIn,0.278
ANT2024exykxglscbgs,,2024fgb,SN IIP,SN IIn,0.245
ANT2024343rf7gc2bx9,,2024fgi,---,SN IIn,0.344
ANT2023hk4s5hdnhgen,,No TNS,---,SN IIn,0.772
ANT2024skjiynzs1vzu,,2024fmw,---,SN IIn,0.344
ANT2024jf1lrv5var8a,,2024fmr,---,SN IIn,0.361
ANT2023s11n7hoxsf4c,,No TNS,---,SN IIn,0.746
ANT2024w067fcdajy0f,,2024ftg,---,SN IIn,0.357
ANT2024knoci5g7twn7,,2024fni,---,SN IIn,0.267
ANT202499durt9fwa40,,2024fem,---,SN IIn,0.38
ANT2024non277oekawc,,2024epx,SN Ia,SN IIn,0.336
ANT202369fy2dph1v6d,,No TNS,---,SN IIn,0.813
ANT2024eoec5v743by3,,2024feo,---,SN IIn,0.262
ANT2023ssjbjrjmdp2t,,2023aclf,---,SN IIn,0.631
ANT2023dgmn54cwicn4,,No TNS,---,SN IIn,0.59
ANT20247u4d0x8g6qnt,,2024eyz,---,SN Ibc,0.316
ANT20242drtadv0dko8,,2024dlo,---,SN Ibc,0.457
ANT2024hl6pc9s9584v,,2024dlz,---,SN Ibc,0.314
ANT2024v5pxlt6r4mz5,,2024exn,---,SN Ibc,0.757
ANT20242d9zfiyknelb,,2024dcj,---,SN Ibc,0.299
ANT2024qtk6jdajnney,,2024euo,---,SN Ibc,0.399
ANT2024v46qcn42x5v6,,2024fpb,---,SN Ibc,0.661
ANT2024zu6b0aflz03c,,No TNS,---,SN Ibc,0.662
ANT20244oj7du3pbt3w,,2024fre,---,SN Ibc,0.569
ANT2024im0uj6wedkgt,,No TNS,---,SN Ibc,0.417
ANT2024wr7x89lxgg02,,2024dla,SN Ia,SN Ibc,0.437
ANT2024vkdqio37i7tp,,2024enx,---,SN Ibc,0.463
ANT2024blb6fajpkvia,,2024epl,SN Ia,SN Ibc,0.405
ANT20245z5y73vza2xr,,2024fqn,---,SN Ibc,0.346
ANT2024p95qrpsverh8,,2024esh,---,SN Ibc,0.603
ANT2023n3xr92hj9vrx,,2023zvq,SN Ia,SN Ibc,0.461
ANT2024vqphr7r6fy79,,2024ejy,---,SN Ibc,0.509
ANT20243wzfvj49829t,,2024fdl,---,SN Ibc,0.672
ANT2024ps3buerp6yfh,,2024ewe,---,SN Ibc,0.437
ANT2024ij0u0j93284u,,2024eca,SN Ic,SN Ibc,0.809
ANT20244gaj9c6be99p,,2024ewj,---,SN Ibc,0.717
ANT20242j9d9dm3913j,,2024ehs,SN II,SN Ibc,0.569
ANT2023c5dft9m8pee2,,No TNS,---,SN Ibc,0.398
ANT20242j3m6y8m2qgp,,2024fdt,---,SN Ibc,0.306
ANT20245horcxb5j0vv,,2024fow,---,SN Ibc,0.277
ANT2024kz9wlojyesi0,,2024fqo,---,SN Ibc,0.303
ANT2024lmlsjig92enh,,No TNS,---,SN Ibc,0.249
ANT2024bxz8s0hpisua,,2024ejr,SN Ia,SN Ibc,0.671
ANT20241bpyx70xk941,,No TNS,---,SN Ibc,0.343
ANT2024gvc438jizn0u,,No TNS,---,SN Ibc,0.397
ANT2023ac46v1dhj2wi,,No TNS,---,SN Ibc,0.628
ANT2024ttuqa3wwk9da,,2024fov,---,SN Ibc,0.348
ANT2024l45wxb8tur6g,,2024epy,---,SN Ibc,0.459
ANT2024ari3pwmsncb8,,2024fty,---,SN Ibc,0.237
ANT2024a330zyg4sbyi,,2024efa,---,SN Ibc,0.307
ANT2024ducsn7safddg,,2024cxh,SN Ia,SN Ibc,0.673
ANT2024yaxi7b9ll1k3,,2024djq,---,SN Ibc,0.354
ANT2023u35xw1kwmk7u,,No TNS,---,SN Ibc,0.254
ANT2024w14brpkfezhr,,2024fqh,---,SN IIn,0.322
ANT20245dflzpyymvek,,2024ewm,---,SN IIn,0.637
ANT2024fovewh4xy1zh,,2024cif,---,SN IIn,0.438
ANT2024k7jjtx5rtfsl,,2024flu,---,SN IIn,0.331
ANT2024q36c4hlb8sgh,,2024esz,SN Ia,SN IIn,0.356
ANT2024qttxa3q6jpwn,,2024etq,---,SN IIn,0.329
ANT20248w5ig0ez8fzk,,2024ezb,---,SN IIn,0.376
ANT2024tgvkdxfr0xq3,,2024cui,SN IIn,SN IIn,0.406
ANT2024gok8j79e9xrl,,2024ezp,---,SN IIn,0.529
ANT2024ndnvye97rj2k,,2024fbx,---,SN IIn,0.279
ANT2024svemo5z6o04v,,2024fjc,---,SN IIn,0.362
ANT202485ssi1ir3t9a,,2024fpz,---,SN IIn,0.279
ANT2024vxb0kp5l4ajz,,2024ewk,---,SN IIn,0.619
ANT2024djn3rbs8ccpe,,2024ady,---,SN IIn,0.47
ANT20248ze4z6mbpfwn,,2024fhg,---,SN IIn,0.327
ANT2024cqciswoobu8x,,2024fhh,---,SN IIn,0.358
ANT2024qw7q1ydvmzee,,2024fot,---,SN IIn,0.308
ANT20245itgh5zu4wbz,,2024aqw,---,SN IIn,0.452
